"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"broccoli, pass ";"broccoli, pass ";11.9285714285714;0.0214285714285714;0.0403571428571429;0;0.00642857142857143;0.00714285714285714;0.0666428571428571;0.0321428571428571
"broccoli, raw";"broccoli, raw";65;0.117;0.114;1.4;0.033;0.05;0.191;0.197604790419162
"broccoli, region ";"broccoli, region ";25.0714285714286;0.0120714285714286;0.0245714285714286;0;0.00307142857142857;0.00721428571428571;0.0427142857142857;0.0227242415446051
"broccoli, steamed, pass ";"broccoli, steamed, pass ";17;0.0171428571428571;0.037;0;0.00714285714285714;0.00857142857142857;0.0635714285714286;0.0396825396825397
"butter, stick, salted";"butter, stick, salted";5.08333333333333;0.025;0;0.29;0.01;0.0168333333333333;0;0.239047619047619
"buttermilk, low fat";"buttermilk, low fat";0;0;0.1963;0;0;0;0.03931;0
"buttermilk, lowfat";"buttermilk, lowfat";0;0;0.19625;0;0;0;0.0393125;0
"cantaloupe, raw, pass ";"cantaloupe, raw, pass ";4.92307692307692;0.00292307692307692;0.00576923076923077;0;0.000307692307692308;0.00176923076923077;0.0136153846153846;0.0101565101565102
"cantaloupe, raw, region ";"cantaloupe, raw, region ";3;0;0.012;0;0;0;0.012;0
"carrots, baby, raw";"carrots, baby, raw";43.65;0;0.1156;0;0;0;0.1146;0
"carrots, baby, raw, peeled";"carrots, baby, raw, peeled";43.65;0;0.115625;0;0;0;0.114625;0
"carrots, frozen, unprepared";"carrots, frozen, unprepared";7;0.042;0.047;4.2;0.007;0.031;0.088;0.0958904109589041
"carrots, mature, raw";"carrots, mature, raw";37.06125;0;0.095;0;0;0;0.1456125;0
"carrots, sliced or crinkle cut, frozen, unprepared ";"carrots, sliced or crinkle cut, frozen, unprepared ";2.8;0.0096;0.0074;0;0.0014;0.00713333333333333;0.0189333333333333;0.0190675936736332
"carrots, whole, frozen, unprepared ";"carrots, whole, frozen, unprepared ";7;0;0;0;0;0;0;0
"carrots, whole, unprepared ";"carrots, whole, unprepared ";0;0.0136666666666667;0.0206666666666667;0;0.00233333333333333;0.0095;0.0256666666666667;0.0345182347098056
"carrots, whole, unprepared, amino acids repeat ";"carrots, whole, unprepared, amino acids repeat ";0;0.0255;0;0;0.007;0.0205;0;0.152245862884161
"cheese, american, restaurant";"cheese, american, restaurant";0;0;0;3.76;0;0;0;0
"cheese, cheddar";"cheese, cheddar";21;0;0.441;0.33;0;0;0.069;0
"cheese, cottage, lowfat, ";"cheese, cottage, lowfat, ";10;0;0.234;4.1;0;0;0.057;0
"cheese, dry white, queso seco";"cheese, dry white, queso seco";0;1.17;0.23;0.43;0.31;1.27;0.091;0.127049180327869
