"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"almond butter, creamy";"almond butter, creamy";193.05;11843.5582822086;NA;NA;294732.824427481;410744.680851064;59400;200
"almond milk, refrigerated, unsweetened";"almond milk, refrigerated, unsweetened";56.25;3450.92024539877;17307.6923076923;NA;85877.8625954199;119680.85106383;17307.6923076923;200
"almond milk, unsweetened, plain, refrigerated";"almond milk, unsweetened, plain, refrigerated";39.375;2415.64417177914;12115.3846153846;NA;60114.5038167939;83776.5957446809;12115.3846153846;200
"amino acids, cheese, dry white, queso seco, mixed composite ";"amino acids, cheese, dry white, queso seco, mixed composite ";NA;82.0552147239264;NA;NA;2041.98473282443;2845.74468085106;NA;200
"amino acids, chicken, dark meat, lean only, drumstick, raw, non";"amino acids, chicken, dark meat, lean only, drumstick, raw, non";NA;48.6196319018405;NA;NA;1209.92366412214;1686.17021276596;NA;200
"amino acids, chicken, dark meat, lean only, thigh, raw, non";"amino acids, chicken, dark meat, lean only, thigh, raw, non";NA;49.2331288343558;NA;NA;1225.19083969466;1707.44680851064;NA;200
"amino acids, chicken, skin, raw, from drumsticks and thighs, non";"amino acids, chicken, skin, raw, from drumsticks and thighs, non";NA;20.0920245398773;NA;NA;500;696.808510638298;NA;200
"amino acids, greek yogurt, chobani plain non";"amino acids, greek yogurt, chobani plain non";NA;31.9018404907976;NA;NA;793.893129770992;1106.3829787234;NA;200
"amino acids, greek yogurt, dannon oikos plain non";"amino acids, greek yogurt, dannon oikos plain non";NA;34.0490797546012;NA;NA;847.328244274809;1180.85106382979;NA;200
"amino acids, greek yogurt, fage plain nonfat ";"amino acids, greek yogurt, fage plain nonfat ";NA;34.8159509202454;NA;NA;866.412213740458;1207.44680851064;NA;200
"amino acids, ground turkey, ";"amino acids, ground turkey, ";NA;45.7055214723926;NA;NA;1137.40458015267;1585.10638297872;NA;200
"amino acids, pollock, raw ";"amino acids, pollock, raw ";NA;31.9018404907976;NA;NA;793.893129770992;1106.3829787234;NA;200
"amino acids, pupusas, bean, flat stuffed corn biscuit ";"amino acids, pupusas, bean, flat stuffed corn biscuit ";NA;16.4110429447853;NA;NA;408.396946564886;569.148936170213;NA;200
"amino acids, sweet and sour pork, chinese restaurant ";"amino acids, sweet and sour pork, chinese restaurant ";NA;30.6748466257669;NA;NA;763.358778625954;1063.82978723404;NA;200
"amino acids, tamale, pork ";"amino acids, tamale, pork ";NA;19.0184049079755;NA;NA;473.282442748092;659.574468085106;NA;200
"beef breakfast sausage, banquet brown n serve sausage links";"beef breakfast sausage, banquet brown n serve sausage links";NA;12177.9141104294;61076.9230769231;NA;303053.435114504;422340.425531915;61076.9230769231;200
"broccoli, cooked, region ";"broccoli, cooked, region ";213.25;13082.8220858896;65615.3846153846;NA;325572.519083969;453723.404255319;65615.3846153846;200
"broccoli, pass ";"broccoli, pass ";79.25;4861.96319018405;24384.6153846154;NA;120992.366412214;168617.021276596;24384.6153846154;200
"broccoli, raw";"broccoli, raw";186.25;11426.3803680982;57307.6923076923;2980;284351.145038168;396276.595744681;57307.6923076923;200
"broccoli, region ";"broccoli, region ";81.5;5000;25076.9230769231;NA;124427.480916031;173404.255319149;25076.9230769231;200
"broccoli, steamed, pass ";"broccoli, steamed, pass ";792.5;48619.6319018405;243846.153846154;NA;1209923.66412214;1686170.21276596;243846.153846154;200
"butter, stick, salted";"butter, stick, salted";208.75;12806.7484662577;64230.7692307692;3032;318702.290076336;444148.936170213;64230.7692307692;200
"cantaloupe, raw, pass ";"cantaloupe, raw, pass ";1177.5;72239.263803681;362307.692307692;NA;1797709.92366412;2505319.14893617;362307.692307692;200
"carrots, frozen, unprepared";"carrots, frozen, unprepared";52.5;3220.85889570552;16153.8461538462;840;80152.6717557252;111702.127659574;16153.8461538462;200
"carrots, frozen, unprepared ";"carrots, frozen, unprepared ";52.5;3220.85889570552;16153.8461538462;840;80152.6717557252;111702.127659574;16153.8461538462;200
"carrots, sliced or crinkle cut, frozen, unprepared ";"carrots, sliced or crinkle cut, frozen, unprepared ";72.5;4447.8527607362;22307.6923076923;NA;110687.022900763;154255.319148936;22307.6923076923;200
"carrots, whole, unprepared ";"carrots, whole, unprepared ";NA;3036.80981595092;15230.7692307692;NA;75572.5190839695;105319.14893617;15230.7692307692;200
"carrots, whole, unprepared, amino acids repeat ";"carrots, whole, unprepared, amino acids repeat ";NA;3.68098159509202;NA;NA;91.6030534351145;127.659574468085;NA;200
"cheese, dry white, queso seco";"cheese, dry white, queso seco";NA;27760.736196319;139230.769230769;7240;690839.694656488;962765.957446809;139230.769230769;200
"cheese, ricotta, whole milk";"cheese, ricotta, whole milk";164.25;10076.6871165644;50538.4615384615;NA;250763.358778626;349468.085106383;50538.4615384615;200
"cheese, ricotta, whole milk, galbani";"cheese, ricotta, whole milk, galbani";72.75;4463.19018404908;22384.6153846154;NA;111068.702290076;154787.234042553;22384.6153846154;200
"cheese, ricotta, whole milk, store/other";"cheese, ricotta, whole milk, store/other";NA;5751.53374233129;28846.1538461538;NA;143129.770992366;199468.085106383;28846.1538461538;200
"eggs, grade a, large, egg white";"eggs, grade a, large, egg white";NA;3542.94478527607;17769.2307692308;NA;88167.9389312977;122872.340425532;NA;200
"eggs, grade a, large, egg whole";"eggs, grade a, large, egg whole";154.25;9463.19018404908;47461.5384615385;2468;235496.183206107;328191.489361702;47461.5384615385;200
"eggs, grade a, large, egg yolk";"eggs, grade a, large, egg yolk";NA;21472.3926380368;107692.307692308;NA;534351.145038168;744680.85106383;NA;200
"eggs, whites";"eggs, whites";NA;1355.8282208589;6800;NA;33740.4580152672;47021.2765957447;NA;200
"eggs, whole";"eggs, whole";110.5;6779.14110429448;34000;NA;168702.290076336;235106.382978723;34000;200
"eggs, yolk";"eggs, yolk";NA;21472.3926380368;107692.307692308;NA;534351.145038168;744680.85106383;NA;200
"figs, dried, pass ";"figs, dried, pass ";166.75;10230.0613496933;51307.6923076923;NA;254580.152671756;354787.234042553;51307.6923076923;200
"figs, dried, uncooked";"figs, dried, uncooked";260;15950.9202453988;80000;4160;396946.564885496;553191.489361702;80000;200
"fish, pollock, raw";"fish, pollock, raw";NA;5107.36196319018;25615.3846153846;NA;127099.236641221;177127.659574468;25615.3846153846;200
"flaxseed, ground";"flaxseed, ground";198.35;12168.7116564417;NA;NA;302824.427480916;422021.276595745;61030.7692307692;200
"flour, soy ";"flour, soy ";NA;38650.3067484663;193846.153846154;NA;961832.061068702;1340425.53191489;193846.153846154;200
"flour, soy, defatted";"flour, soy, defatted";NA;38036.8098159509;190769.230769231;NA;946564.885496183;1319148.93617021;190769.230769231;200
"flour, soy, full";"flour, soy, full";NA;28987.7300613497;145384.615384615;NA;721374.045801527;1005319.14893617;145384.615384615;200
"flour, soy, full fat";"flour, soy, full fat";NA;31134.9693251534;156153.846153846;NA;774809.160305343;1079787.23404255;156153.846153846;200
"flour, soy, full fat ";"flour, soy, full fat ";NA;29447.8527607362;147692.307692308;NA;732824.427480916;1021276.59574468;147692.307692308;200
"ground flaxseed meal";"ground flaxseed meal";372.5;22852.7607361963;NA;NA;568702.290076336;792553.191489362;114615.384615385;200
"kiwi, pass ";"kiwi, pass ";32.5;1993.86503067485;10000;NA;49618.320610687;69148.9361702128;10000;200
"kiwi, region ";"kiwi, region ";78.5;4815.9509202454;24153.8461538462;NA;119847.328244275;167021.276595745;24153.8461538462;200
"kiwifruit, green, raw";"kiwifruit, green, raw";60.25;3696.31901840491;18538.4615384615;964;91984.7328244275;128191.489361702;18538.4615384615;200
"lettuce, cos or romaine, raw";"lettuce, cos or romaine, raw";1307.5;80214.7239263804;402307.692307692;20920;1996183.20610687;2781914.89361702;402307.692307692;200
"melons, cantaloupe, raw";"melons, cantaloupe, raw";695;42638.036809816;213846.153846154;11120;1061068.70229008;1478723.40425532;213846.153846154;200
"milk, ";"milk, ";47.75;2929.44785276074;449.230769230769;NA;72900.7633587786;101595.744680851;449.230769230769;200
"milk, lowfat, fluid, ";"milk, lowfat, fluid, ";44.75;2745.39877300613;13769.2307692308;716;68320.6106870229;95212.7659574468;13769.2307692308;200
"milk, nonfat, fluid, with added vitamin a and vitamin d ";"milk, nonfat, fluid, with added vitamin a and vitamin d ";41.75;2561.34969325153;12846.1538461538;668;63740.4580152672;88829.7872340426;12846.1538461538;200
"milk, reduced fat, fluid, ";"milk, reduced fat, fluid, ";52.25;3205.52147239264;16076.9230769231;836;79770.9923664122;111170.212765957;16076.9230769231;200
"milk, skim ";"milk, skim ";46.5;2852.76073619632;NA;NA;70992.3664122137;98936.170212766;NA;200
"milk, whole ";"milk, whole ";38.5;2361.96319018405;NA;NA;58778.6259541985;81914.8936170213;NA;200
"milk, whole, ";"milk, whole, ";63;3865.03067484663;19384.6153846154;1008;96183.2061068702;134042.553191489;19384.6153846154;200
"mission figs, dried, region ";"mission figs, dried, region ";193.25;11855.8282208589;59461.5384615385;NA;295038.167938931;411170.212765957;59461.5384615385;200
"mustard, prepared, yellow";"mustard, prepared, yellow";275;16871.1656441718;84615.3846153846;4400;419847.328244275;585106.382978723;84615.3846153846;200
"mustard, yellow, prepared, french's classic yellow mustard, amino acids ";"mustard, yellow, prepared, french's classic yellow mustard, amino acids ";NA;11.1963190184049;NA;NA;278.625954198473;388.297872340425;NA;200
"mustard, yellow, prepared, store brand, amino acids ";"mustard, yellow, prepared, store brand, amino acids ";NA;13.1901840490798;NA;NA;328.24427480916;457.446808510638;NA;200
"nectarines, fresh, region ";"nectarines, fresh, region ";41.5;2546.01226993865;12769.2307692308;NA;63358.7786259542;88297.8723404255;12769.2307692308;200
"nectarines, raw";"nectarines, raw";49.75;3052.1472392638;15307.6923076923;796;75954.1984732824;105851.063829787;15307.6923076923;200
"nectarines, raw, pass ";"nectarines, raw, pass ";82.75;5076.68711656442;25461.5384615385;NA;126335.877862595;176063.829787234;25461.5384615385;200
"oat milk, refrigerated, unsweetened";"oat milk, refrigerated, unsweetened";75;4601.22699386503;23076.9230769231;NA;114503.816793893;159574.468085106;23076.9230769231;200
"oat milk, unsweetened, plain, refrigerated";"oat milk, unsweetened, plain, refrigerated";37.125;2277.60736196319;11423.0769230769;594;56679.3893129771;78989.3617021277;11423.0769230769;200
"oranges, navel, pass ";"oranges, navel, pass ";40.5;2484.66257668712;12461.5384615385;NA;61832.0610687023;86170.2127659574;12461.5384615385;200
"oranges, navel, raw, region ";"oranges, navel, raw, region ";47;2883.43558282209;14461.5384615385;NA;71755.7251908397;1e+05;14461.5384615385;200
"oranges, raw, navels";"oranges, raw, navels";49;3006.13496932515;15076.9230769231;784;74809.1603053435;104255.319148936;15076.9230769231;200
"oranges, raw, navels ";"oranges, raw, navels ";49;3006.13496932515;15076.9230769231;784;74809.1603053435;104255.319148936;15076.9230769231;200
"peaches, raw, pass ";"peaches, raw, pass ";62;3803.68098159509;19076.9230769231;NA;94656.4885496183;131914.893617021;19076.9230769231;200
