"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"peaches, yellow, raw";"peaches, yellow, raw";56;3435.58282208589;17230.7692307692;896;85496.1832061069;119148.936170213;17230.7692307692;200
"peanut butter, creamy";"peanut butter, creamy";166.375;10207.0552147239;NA;NA;254007.633587786;353989.361702128;51192.3076923077;200
"pears, bartlett, regions ";"pears, bartlett, regions ";30.25;1855.8282208589;9307.69230769231;NA;46183.2061068702;64361.7021276596;9307.69230769231;200
"pears, bosc, regions ";"pears, bosc, regions ";33.75;2070.55214723926;10384.6153846154;NA;51526.7175572519;71808.5106382979;10384.6153846154;200
"pears, green anjou, regions ";"pears, green anjou, regions ";33.25;2039.8773006135;10230.7692307692;NA;50763.358778626;70744.6808510638;10230.7692307692;200
"pears, raw, bartlett";"pears, raw, bartlett";59.5;3650.30674846626;18307.6923076923;952;90839.6946564885;126595.744680851;18307.6923076923;200
"pears, raw, bartlett ";"pears, raw, bartlett ";59.5;3650.30674846626;18307.6923076923;952;90839.6946564885;126595.744680851;18307.6923076923;200
"restaurant, chinese, sweet and sour pork";"restaurant, chinese, sweet and sour pork";NA;16717.7914110429;83846.1538461538;4360;416030.534351145;579787.234042553;83846.1538461538;200
"restaurant, latino, pupusas con frijoles ";"restaurant, latino, pupusas con frijoles ";NA;14708.5889570552;73769.2307692308;3836;366030.534351145;510106.382978723;73769.2307692308;200
"restaurant, latino, tamale, pork";"restaurant, latino, tamale, pork";NA;11165.6441717791;56000;2912;277862.595419847;387234.042553191;56000;200
"romaine lettuce, pass ";"romaine lettuce, pass ";667.5;40950.9202453988;205384.615384615;NA;1019083.96946565;1420212.76595745;205384.615384615;200
"romaine lettuce, region ";"romaine lettuce, region ";68.25;4187.11656441718;21000;NA;104198.473282443;145212.765957447;21000;200
"sausage, breakfast sausage, beef, pre";"sausage, breakfast sausage, beef, pre";NA;21012.2699386503;105384.615384615;5480;522900.763358779;728723.404255319;105384.615384615;200
"sausage, turkey, breakfast links, mild, raw";"sausage, turkey, breakfast links, mild, raw";NA;10828.2208588957;54307.6923076923;NA;269465.648854962;375531.914893617;54307.6923076923;200
"sesame butter, creamy";"sesame butter, creamy";179.825;11032.2085889571;NA;NA;274541.984732824;382606.382978723;55330.7692307692;200
"sesame seed butter ";"sesame seed butter ";198.75;12193.2515337423;NA;NA;303435.114503817;422872.340425532;61153.8461538462;200
"soy milk, refrigerated, sweetened";"soy milk, refrigerated, sweetened";47;2883.43558282209;14461.5384615385;NA;71755.7251908397;1e+05;14461.5384615385;200
"soy milk, unsweetened, plain, refrigerated";"soy milk, unsweetened, plain, refrigerated";46.25;2837.42331288344;14230.7692307692;NA;70610.6870229008;98404.2553191489;14230.7692307692;200
"soy milk, unsweetened, plain, shelf stable";"soy milk, unsweetened, plain, shelf stable";47.525;2915.64417177914;14623.0769230769;632.8;72557.2519083969;101117.021276596;14623.0769230769;200
"strawberries, fresh, region ";"strawberries, fresh, region ";35;2147.23926380368;10769.2307692308;NA;53435.1145038168;74468.085106383;10769.2307692308;200
"strawberries, raw";"strawberries, raw";174.95;10733.1288343558;53830.7692307692;2799.2;267099.236641221;372234.042553191;53830.7692307692;200
"turkey breakfast sausage, jennie o ";"turkey breakfast sausage, jennie o ";NA;9877.30061349693;49538.4615384615;NA;245801.526717557;342553.191489362;49538.4615384615;200
"yogurt, greek, plain, nonfat";"yogurt, greek, plain, nonfat";NA;3926.38036809816;19692.3076923077;1024;97709.9236641221;136170.212765957;19692.3076923077;200
"almond milk, unsweetened, plain, shelf stable";"almond milk, unsweetened, plain, shelf stable";57.7125;NA;17757.6923076923;690.8;NA;NA;17757.6923076923;NA
"almonds dry roasted salted";"almonds dry roasted salted";186;NA;57230.7692307692;NA;NA;NA;NA;NA
"almonds, dry roasted, salted ";"almonds, dry roasted, salted ";NA;NA;NA;NA;NA;NA;2753.84615384615;NA
"apple juice from concentrate with added vitamin c, shelf stable";"apple juice from concentrate with added vitamin c, shelf stable";102.5;NA;NA;NA;NA;NA;31538.4615384615;NA
"apple juice, with added vitamin c, from concentrate, shelf stable";"apple juice, with added vitamin c, from concentrate, shelf stable";90;NA;NA;1440;NA;NA;27692.3076923077;NA
"apples, fuji";"apples, fuji";29.75;NA;9153.84615384615;NA;NA;NA;9153.84615384615;NA
"apples, fuji, with skin, raw";"apples, fuji, with skin, raw";48.75;NA;15000;1084;NA;NA;15000;NA
"apples, gala";"apples, gala";31.5;NA;9692.30769230769;NA;NA;NA;9692.30769230769;NA
"apples, gala, with skin, raw";"apples, gala, with skin, raw";47.75;NA;14692.3076923077;1024;NA;NA;14692.3076923077;NA
"apples, granny smith";"apples, granny smith";36.5;NA;11230.7692307692;NA;NA;NA;11230.7692307692;NA
"apples, granny smith, with skin, raw";"apples, granny smith, with skin, raw";49.125;NA;15115.3846153846;988;NA;NA;15115.3846153846;NA
"apples, honeycrisp";"apples, honeycrisp";31.5;NA;9692.30769230769;NA;NA;NA;9692.30769230769;NA
"apples, honeycrisp, with skin, raw";"apples, honeycrisp, with skin, raw";47.25;NA;14538.4615384615;1008;NA;NA;14538.4615384615;NA
"apples, red delicious";"apples, red delicious";28.5;NA;8769.23076923077;NA;NA;NA;8769.23076923077;NA
"apples, red delicious, with skin, raw";"apples, red delicious, with skin, raw";46.5;NA;14307.6923076923;1032;NA;NA;14307.6923076923;NA
"applesauce, unsweetened, with added vitamin c";"applesauce, unsweetened, with added vitamin c";NA;NA;NA;1703.6;NA;NA;NA;NA
"b";"b";NA;NA;557.692307692308;NA;NA;NA;557.692307692308;NA
"bananas, overripe";"bananas, overripe";83.25;NA;25615.3846153846;NA;NA;NA;25615.3846153846;NA
"bananas, overripe, raw";"bananas, overripe, raw";89.25;NA;27461.5384615385;1428;NA;NA;27461.5384615385;NA
"bananas, ripe";"bananas, ripe";99.25;NA;30538.4615384615;NA;NA;NA;30538.4615384615;NA
"bananas, ripe and slightly ripe, raw";"bananas, ripe and slightly ripe, raw";102;NA;31384.6153846154;1632;NA;NA;31384.6153846154;NA
"bananas, slightly ripe";"bananas, slightly ripe";107.25;NA;33000;NA;NA;NA;33000;NA
"beans, snap, green, canned, regular pack, drained solids";"beans, snap, green, canned, regular pack, drained solids";NA;NA;NA;1128;NA;NA;NA;NA
"beef breakfast sausage, banquet brown n serve sausage links, maple flavor";"beef breakfast sausage, banquet brown n serve sausage links, maple flavor";NA;NA;60307.6923076923;NA;NA;NA;60307.6923076923;NA
"beef breakfast sausage, eckrich sausage links";"beef breakfast sausage, eckrich sausage links";NA;NA;79230.7692307692;NA;NA;NA;79230.7692307692;NA
"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to ";"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to ";NA;NA;56538.4615384615;NA;NA;NA;56538.4615384615;NA
"beef, loin, top loin steak, boneless, lip";"beef, loin, top loin steak, boneless, lip";NA;NA;49846.1538461538;NA;NA;NA;49846.1538461538;NA
"beef, round, eye of round roast, boneless, separable lean only, trimmed to ";"beef, round, eye of round roast, boneless, separable lean only, trimmed to ";NA;NA;39384.6153846154;NA;NA;NA;39384.6153846154;NA
"beef, round, top round roast, boneless, separable lean only, trimmed to ";"beef, round, top round roast, boneless, separable lean only, trimmed to ";NA;NA;39538.4615384615;NA;NA;NA;39538.4615384615;NA
"beef, short loin, porterhouse steak, separable lean only, trimmed to ";"beef, short loin, porterhouse steak, separable lean only, trimmed to ";NA;NA;46615.3846153846;NA;NA;NA;46615.3846153846;NA
"beef, short loin, t";"beef, short loin, t";NA;NA;70615.3846153846;NA;NA;NA;70615.3846153846;NA
"blueberries, raw";"blueberries, raw";NA;NA;NA;342.56;NA;NA;NA;NA
"bread, white, commercially prepared";"bread, white, commercially prepared";NA;NA;86923.0769230769;4520;NA;NA;86923.0769230769;NA
"bread, whole";"bread, whole";265;NA;81538.4615384615;4240;NA;NA;81538.4615384615;NA
"buttermilk, low fat";"buttermilk, low fat";NA;NA;12153.8461538462;NA;NA;NA;12153.8461538462;NA
"buttermilk, lowfat";"buttermilk, lowfat";NA;NA;16153.8461538462;NA;NA;NA;16153.8461538462;NA
"cantaloupe, raw, region ";"cantaloupe, raw, region ";66.5;NA;20461.5384615385;NA;NA;NA;20461.5384615385;NA
"carrots, baby, raw";"carrots, baby, raw";59.325;NA;18253.8461538462;NA;NA;NA;18253.8461538462;NA
"carrots, baby, raw, peeled";"carrots, baby, raw, peeled";67.5;NA;20769.2307692308;NA;NA;NA;20769.2307692308;NA
"carrots, mature, raw";"carrots, mature, raw";79.7;NA;24523.0769230769;NA;NA;NA;24523.0769230769;NA
"carrots, whole, frozen, unprepared ";"carrots, whole, frozen, unprepared ";1.75;NA;NA;NA;NA;NA;NA;NA
"cheese, american, restaurant";"cheese, american, restaurant";NA;NA;NA;6400;NA;NA;NA;NA
"cheese, cheddar";"cheese, cheddar";427.5;NA;131538.461538462;6840;NA;NA;131538.461538462;NA
"cheese, cottage, lowfat, ";"cheese, cottage, lowfat, ";88;NA;27076.9230769231;1408;NA;NA;27076.9230769231;NA
"cheese, feta, whole milk, crumbled";"cheese, feta, whole milk, crumbled";NA;NA;102307.692307692;5320;NA;NA;102307.692307692;NA
"cheese, mozzarella, low moisture, part";"cheese, mozzarella, low moisture, part";310;NA;95384.6153846154;4960;NA;NA;95384.6153846154;NA
"cheese, parmesan, grated";"cheese, parmesan, grated";440;NA;135384.615384615;7040;NA;NA;135384.615384615;NA
"cheese, parmesan, grated, refrigerated";"cheese, parmesan, grated, refrigerated";NA;NA;117307.692307692;6100;NA;NA;117307.692307692;NA
"cheese, pasteurized process, american, vitamin d fortified";"cheese, pasteurized process, american, vitamin d fortified";NA;NA;127692.307692308;6640;NA;NA;127692.307692308;NA
"cheese, ricotta, whole milk, lucerne";"cheese, ricotta, whole milk, lucerne";NA;NA;17846.1538461538;NA;NA;NA;17846.1538461538;NA
"cheese, ricotta, whole milk, polly";"cheese, ricotta, whole milk, polly";77.75;NA;23923.0769230769;NA;NA;NA;23923.0769230769;NA
"cheese, swiss";"cheese, swiss";410;NA;126153.846153846;6560;NA;NA;126153.846153846;NA
"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";NA;NA;53461.5384615385;NA;NA;NA;53461.5384615385;NA
"chicken, broilers or fryers, drumstick, meat only, cooked, braised";"chicken, broilers or fryers, drumstick, meat only, cooked, braised";NA;NA;50153.8461538462;NA;NA;NA;50153.8461538462;NA
"chorizo pork sausage, johnsonville, cooked";"chorizo pork sausage, johnsonville, cooked";NA;NA;64384.6153846154;NA;NA;NA;NA;NA
"chorizo pork sausage, mixed brand, cooked";"chorizo pork sausage, mixed brand, cooked";280;NA;86153.8461538462;NA;NA;NA;86153.8461538462;NA
"cookies, oatmeal, soft, with raisins";"cookies, oatmeal, soft, with raisins";450;NA;138461.538461538;7200;NA;NA;138461.538461538;NA
"cranberry juice, not fortified, from concentrate, shelf stable";"cranberry juice, not fortified, from concentrate, shelf stable";291;NA;NA;4656;NA;NA;89538.4615384615;NA
"cranberry juice, shelf stable, from concentrate, not fortified";"cranberry juice, shelf stable, from concentrate, not fortified";380;NA;NA;NA;NA;NA;116923.076923077;NA
"eggs, whites ";"eggs, whites ";NA;NA;34.6153846153846;NA;NA;NA;NA;NA
"eggs, whole ";"eggs, whole ";NA;NA;34692.3076923077;NA;NA;NA;NA;NA
"eggs, yolk ";"eggs, yolk ";NA;NA;4084.61538461538;NA;NA;NA;NA;NA
"fish, haddock, raw";"fish, haddock, raw";NA;NA;23692.3076923077;NA;NA;NA;23692.3076923077;NA
"fish, tuna, light, canned in water, drained solids";"fish, tuna, light, canned in water, drained solids";NA;NA;28923.0769230769;1504;NA;NA;28923.0769230769;NA
"flour, ";"flour, ";65.951343;NA;20292.7209230769;NA;NA;NA;20292.7209230769;NA
"flour, all";"flour, all";NA;NA;1076.92307692308;NA;NA;NA;NA;NA
"flour, all purpose ";"flour, all purpose ";74.25;NA;NA;NA;NA;NA;22846.1538461538;NA
"flour, almond";"flour, almond";166.7;NA;51292.3076923077;NA;NA;NA;51292.3076923077;NA
"flour, almond, blanched";"flour, almond, blanched";191.25;NA;58846.1538461538;NA;NA;NA;58846.1538461538;NA
"flour, bread, white ";"flour, bread, white ";40;NA;NA;NA;NA;NA;12307.6923076923;NA
"flour, bread, white, enriched";"flour, bread, white, enriched";NA;NA;570.769230769231;NA;NA;NA;NA;NA
"flour, bread, white, enriched, unbleached";"flour, bread, white, enriched, unbleached";380;NA;116923.076923077;NA;NA;NA;116923.076923077;NA
"flour, corn, enriched";"flour, corn, enriched";NA;NA;907.692307692308;NA;NA;NA;NA;NA
"flour, corn, yellow ";"flour, corn, yellow ";87;NA;NA;NA;NA;NA;26769.2307692308;NA
"flour, corn, yellow, fine meal, enriched";"flour, corn, yellow, fine meal, enriched";380;NA;116923.076923077;6080;NA;NA;116923.076923077;NA
"flour, oat, whole grain";"flour, oat, whole grain";97.28125;NA;29932.6923076923;NA;NA;NA;29932.6923076923;NA
"flour, pastry, unenriched, unbleached";"flour, pastry, unenriched, unbleached";NA;NA;115384.615384615;NA;NA;NA;115384.615384615;NA
"flour, pastry, white ";"flour, pastry, white ";NA;NA;12076.9230769231;NA;NA;NA;12076.9230769231;NA
"flour, potato";"flour, potato";447.5;NA;137692.307692308;NA;NA;NA;137692.307692308;NA
"flour, rice, brown";"flour, rice, brown";NA;NA;73931;NA;NA;NA;73931;NA
"flour, rice, brown ";"flour, rice, brown ";NA;NA;26384.6153846154;NA;NA;NA;26384.6153846154;NA
"flour, rice, glutenous";"flour, rice, glutenous";NA;NA;10384.6153846154;NA;NA;NA;10384.6153846154;NA
"flour, rice, glutinous";"flour, rice, glutinous";NA;NA;115384.615384615;NA;NA;NA;115384.615384615;NA
"flour, rice, white";"flour, rice, white";30.75;NA;121.538461538462;NA;NA;NA;9461.53846153846;NA
"flour, rice, white ";"flour, rice, white ";25.5;NA;NA;NA;NA;NA;7846.15384615385;NA
"flour, rice, white, unenriched";"flour, rice, white, unenriched";375;NA;57765;NA;NA;NA;115384.615384615;NA
"flour, semolina, coarse";"flour, semolina, coarse";55.875;NA;17192.3076923077;NA;NA;NA;17192.3076923077;NA
"flour, semolina, coarse and semi";"flour, semolina, coarse and semi";91.257766625;NA;28079.3128076923;NA;NA;NA;28079.3128076923;NA
"flour, semolina, fine";"flour, semolina, fine";75.3696140625;NA;23190.6504807692;NA;NA;NA;23190.6504807692;NA
"flour, semolina, semi";"flour, semolina, semi";53.25;NA;16384.6153846154;NA;NA;NA;16384.6153846154;NA
"flour, spelt, whole grain";"flour, spelt, whole grain";104.459875;NA;32141.5;NA;NA;NA;32141.5;NA
"flour, wheat, all";"flour, wheat, all";382.5;NA;117692.307692308;NA;NA;NA;117692.307692308;NA
"flour, whole grain oat";"flour, whole grain oat";120.5;NA;37076.9230769231;NA;NA;NA;37076.9230769231;NA
"flour, whole wheat ";"flour, whole wheat ";132;NA;NA;NA;NA;NA;40615.3846153846;NA
"flour, whole wheat, unenriched";"flour, whole wheat, unenriched";387.5;NA;119230.769230769;NA;NA;NA;119230.769230769;NA
"folate, cheddar cheese, sliced, cracker barrel ";"folate, cheddar cheese, sliced, cracker barrel ";4.5;NA;NA;NA;NA;NA;NA;NA
"folate, cheddar cheese, sliced, sargento sharp  ";"folate, cheddar cheese, sliced, sargento sharp  ";7.5;NA;NA;NA;NA;NA;NA;NA
"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese ";"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese ";6;NA;NA;NA;NA;NA;NA;NA
"folate, cheddar cheese, sliced, tillamook ";"folate, cheddar cheese, sliced, tillamook ";3.5;NA;NA;NA;NA;NA;NA;NA
"folate, cheese, swiss, slices ";"folate, cheese, swiss, slices ";2.75;NA;NA;NA;NA;NA;NA;NA
"folate, cottage cheese, ";"folate, cottage cheese, ";3.25;NA;NA;NA;NA;NA;NA;NA
"folate, mozzarella cheese, low";"folate, mozzarella cheese, low";7.5;NA;NA;NA;NA;NA;NA;NA
"folate, mustard, yellow, frenchs classic ";"folate, mustard, yellow, frenchs classic ";2;NA;NA;NA;NA;NA;NA;NA
"folate, onion rings, frozen, alexia ";"folate, onion rings, frozen, alexia ";7;NA;NA;NA;NA;NA;NA;NA
"folate, onion rings, frozen, ore";"folate, onion rings, frozen, ore";10.25;NA;NA;NA;NA;NA;NA;NA
"folate, onion rings, frozen, store brand/other ";"folate, onion rings, frozen, store brand/other ";8.75;NA;NA;NA;NA;NA;NA;NA
