"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"kiwifruit, green, raw";"kiwifruit, green, raw";241;241;241;241;241;241;241;0.5
"lettuce, cos or romaine, raw";"lettuce, cos or romaine, raw";5230;5230;5230;5230;5230;5230;5230;0.5
"melons, cantaloupe, raw";"melons, cantaloupe, raw";2780;2780;2780;2780;2780;2780;2780;0.5
"milk, ";"milk, ";191;191;5.84;NA;191;191;5.84;0.5
"milk, lowfat, fluid, ";"milk, lowfat, fluid, ";179;179;179;179;179;179;179;0.5
"milk, nonfat, fluid, with added vitamin a and vitamin d ";"milk, nonfat, fluid, with added vitamin a and vitamin d ";167;167;167;167;167;167;167;0.5
"milk, reduced fat, fluid, ";"milk, reduced fat, fluid, ";209;209;209;209;209;209;209;0.5
"milk, skim ";"milk, skim ";186;186;NA;NA;186;186;NA;0.5
"milk, whole ";"milk, whole ";154;154;NA;NA;154;154;NA;0.5
"milk, whole, ";"milk, whole, ";252;252;252;252;252;252;252;0.5
"mission figs, dried, region ";"mission figs, dried, region ";773;773;773;NA;773;773;773;0.5
"mustard, prepared, yellow";"mustard, prepared, yellow";1100;1100;1100;1100;1100;1100;1100;0.5
"mustard, yellow, prepared, french's classic yellow mustard, amino acids ";"mustard, yellow, prepared, french's classic yellow mustard, amino acids ";NA;0.73;NA;NA;0.73;0.73;NA;0.5
"mustard, yellow, prepared, store brand, amino acids ";"mustard, yellow, prepared, store brand, amino acids ";NA;0.86;NA;NA;0.86;0.86;NA;0.5
"nectarines, fresh, region ";"nectarines, fresh, region ";166;166;166;NA;166;166;166;0.5
"nectarines, raw";"nectarines, raw";199;199;199;199;199;199;199;0.5
"nectarines, raw, pass ";"nectarines, raw, pass ";331;331;331;NA;331;331;331;0.5
"oat milk, refrigerated, unsweetened";"oat milk, refrigerated, unsweetened";300;300;300;NA;300;300;300;0.5
"oat milk, unsweetened, plain, refrigerated";"oat milk, unsweetened, plain, refrigerated";148.5;148.5;148.5;148.5;148.5;148.5;148.5;0.5
"oranges, navel, pass ";"oranges, navel, pass ";162;162;162;NA;162;162;162;0.5
"oranges, navel, raw, region ";"oranges, navel, raw, region ";188;188;188;NA;188;188;188;0.5
"oranges, raw, navels";"oranges, raw, navels";196;196;196;196;196;196;196;0.5
"oranges, raw, navels ";"oranges, raw, navels ";196;196;196;196;196;196;196;0.5
"peaches, raw, pass ";"peaches, raw, pass ";248;248;248;NA;248;248;248;0.5
"peaches, yellow, raw";"peaches, yellow, raw";224;224;224;224;224;224;224;0.5
"peanut butter, creamy";"peanut butter, creamy";665.5;665.5;NA;NA;665.5;665.5;665.5;0.5
"pears, bartlett, regions ";"pears, bartlett, regions ";121;121;121;NA;121;121;121;0.5
"pears, bosc, regions ";"pears, bosc, regions ";135;135;135;NA;135;135;135;0.5
"pears, green anjou, regions ";"pears, green anjou, regions ";133;133;133;NA;133;133;133;0.5
"pears, raw, bartlett";"pears, raw, bartlett";238;238;238;238;238;238;238;0.5
"pears, raw, bartlett ";"pears, raw, bartlett ";238;238;238;238;238;238;238;0.5
"restaurant, chinese, sweet and sour pork";"restaurant, chinese, sweet and sour pork";NA;1090;1090;1090;1090;1090;1090;0.5
"restaurant, latino, pupusas con frijoles ";"restaurant, latino, pupusas con frijoles ";NA;959;959;959;959;959;959;0.5
"restaurant, latino, tamale, pork";"restaurant, latino, tamale, pork";NA;728;728;728;728;728;728;0.5
"romaine lettuce, pass ";"romaine lettuce, pass ";2670;2670;2670;NA;2670;2670;2670;0.5
"romaine lettuce, region ";"romaine lettuce, region ";273;273;273;NA;273;273;273;0.5
"sausage, breakfast sausage, beef, pre";"sausage, breakfast sausage, beef, pre";NA;1370;1370;1370;1370;1370;1370;0.5
"sausage, turkey, breakfast links, mild, raw";"sausage, turkey, breakfast links, mild, raw";NA;706;706;NA;706;706;706;0.5
"sesame butter, creamy";"sesame butter, creamy";719.3;719.3;NA;NA;719.3;719.3;719.3;0.5
"sesame seed butter ";"sesame seed butter ";795;795;NA;NA;795;795;795;0.5
"soy milk, refrigerated, sweetened";"soy milk, refrigerated, sweetened";188;188;188;NA;188;188;188;0.5
"soy milk, unsweetened, plain, refrigerated";"soy milk, unsweetened, plain, refrigerated";185;185;185;NA;185;185;185;0.5
"soy milk, unsweetened, plain, shelf stable";"soy milk, unsweetened, plain, shelf stable";190.1;190.1;190.1;158.2;190.1;190.1;190.1;0.5
"strawberries, fresh, region ";"strawberries, fresh, region ";140;140;140;NA;140;140;140;0.5
"strawberries, raw";"strawberries, raw";699.8;699.8;699.8;699.8;699.8;699.8;699.8;0.5
"turkey breakfast sausage, jennie o ";"turkey breakfast sausage, jennie o ";NA;644;644;NA;644;644;644;0.5
"yogurt, greek, plain, nonfat";"yogurt, greek, plain, nonfat";NA;256;256;256;256;256;256;0.5
"almond milk, unsweetened, plain, shelf stable";"almond milk, unsweetened, plain, shelf stable";230.85;NA;230.85;172.7;NA;NA;230.85;NA
"almonds dry roasted salted";"almonds dry roasted salted";744;NA;744;NA;NA;NA;NA;NA
"almonds, dry roasted, salted ";"almonds, dry roasted, salted ";NA;NA;NA;NA;NA;NA;35.8;NA
"apple juice from concentrate with added vitamin c, shelf stable";"apple juice from concentrate with added vitamin c, shelf stable";410;NA;NA;NA;NA;NA;410;NA
"apple juice, with added vitamin c, from concentrate, shelf stable";"apple juice, with added vitamin c, from concentrate, shelf stable";360;NA;NA;360;NA;NA;360;NA
"apples, fuji";"apples, fuji";119;NA;119;NA;NA;NA;119;NA
"apples, fuji, with skin, raw";"apples, fuji, with skin, raw";195;NA;195;271;NA;NA;195;NA
"apples, gala";"apples, gala";126;NA;126;NA;NA;NA;126;NA
"apples, gala, with skin, raw";"apples, gala, with skin, raw";191;NA;191;256;NA;NA;191;NA
"apples, granny smith";"apples, granny smith";146;NA;146;NA;NA;NA;146;NA
"apples, granny smith, with skin, raw";"apples, granny smith, with skin, raw";196.5;NA;196.5;247;NA;NA;196.5;NA
"apples, honeycrisp";"apples, honeycrisp";126;NA;126;NA;NA;NA;126;NA
"apples, honeycrisp, with skin, raw";"apples, honeycrisp, with skin, raw";189;NA;189;252;NA;NA;189;NA
"apples, red delicious";"apples, red delicious";114;NA;114;NA;NA;NA;114;NA
"apples, red delicious, with skin, raw";"apples, red delicious, with skin, raw";186;NA;186;258;NA;NA;186;NA
"applesauce, unsweetened, with added vitamin c";"applesauce, unsweetened, with added vitamin c";NA;NA;NA;425.9;NA;NA;NA;NA
"b";"b";NA;NA;7.25;NA;NA;NA;7.25;NA
"bananas, overripe";"bananas, overripe";333;NA;333;NA;NA;NA;333;NA
"bananas, overripe, raw";"bananas, overripe, raw";357;NA;357;357;NA;NA;357;NA
"bananas, ripe";"bananas, ripe";397;NA;397;NA;NA;NA;397;NA
"bananas, ripe and slightly ripe, raw";"bananas, ripe and slightly ripe, raw";408;NA;408;408;NA;NA;408;NA
"bananas, slightly ripe";"bananas, slightly ripe";429;NA;429;NA;NA;NA;429;NA
"beans, snap, green, canned, regular pack, drained solids";"beans, snap, green, canned, regular pack, drained solids";NA;NA;NA;282;NA;NA;NA;NA
"beef breakfast sausage, banquet brown n serve sausage links, maple flavor";"beef breakfast sausage, banquet brown n serve sausage links, maple flavor";NA;NA;784;NA;NA;NA;784;NA
"beef breakfast sausage, eckrich sausage links";"beef breakfast sausage, eckrich sausage links";NA;NA;1030;NA;NA;NA;1030;NA
"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to ";"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to ";NA;NA;735;NA;NA;NA;735;NA
"beef, loin, top loin steak, boneless, lip";"beef, loin, top loin steak, boneless, lip";NA;NA;648;NA;NA;NA;648;NA
"beef, round, eye of round roast, boneless, separable lean only, trimmed to ";"beef, round, eye of round roast, boneless, separable lean only, trimmed to ";NA;NA;512;NA;NA;NA;512;NA
"beef, round, top round roast, boneless, separable lean only, trimmed to ";"beef, round, top round roast, boneless, separable lean only, trimmed to ";NA;NA;514;NA;NA;NA;514;NA
"beef, short loin, porterhouse steak, separable lean only, trimmed to ";"beef, short loin, porterhouse steak, separable lean only, trimmed to ";NA;NA;606;NA;NA;NA;606;NA
"beef, short loin, t";"beef, short loin, t";NA;NA;918;NA;NA;NA;918;NA
"blueberries, raw";"blueberries, raw";NA;NA;NA;85.64;NA;NA;NA;NA
"bread, white, commercially prepared";"bread, white, commercially prepared";NA;NA;1130;1130;NA;NA;1130;NA
"bread, whole";"bread, whole";1060;NA;1060;1060;NA;NA;1060;NA
"buttermilk, low fat";"buttermilk, low fat";NA;NA;158;NA;NA;NA;158;NA
"buttermilk, lowfat";"buttermilk, lowfat";NA;NA;210;NA;NA;NA;210;NA
"cantaloupe, raw, region ";"cantaloupe, raw, region ";266;NA;266;NA;NA;NA;266;NA
"carrots, baby, raw";"carrots, baby, raw";237.3;NA;237.3;NA;NA;NA;237.3;NA
"carrots, baby, raw, peeled";"carrots, baby, raw, peeled";270;NA;270;NA;NA;NA;270;NA
"carrots, mature, raw";"carrots, mature, raw";318.8;NA;318.8;NA;NA;NA;318.8;NA
"carrots, whole, frozen, unprepared ";"carrots, whole, frozen, unprepared ";7;NA;NA;NA;NA;NA;NA;NA
"cheese, american, restaurant";"cheese, american, restaurant";NA;NA;NA;1600;NA;NA;NA;NA
"cheese, cheddar";"cheese, cheddar";1710;NA;1710;1710;NA;NA;1710;NA
"cheese, cottage, lowfat, ";"cheese, cottage, lowfat, ";352;NA;352;352;NA;NA;352;NA
"cheese, feta, whole milk, crumbled";"cheese, feta, whole milk, crumbled";NA;NA;1330;1330;NA;NA;1330;NA
"cheese, mozzarella, low moisture, part";"cheese, mozzarella, low moisture, part";1240;NA;1240;1240;NA;NA;1240;NA
"cheese, parmesan, grated";"cheese, parmesan, grated";1760;NA;1760;1760;NA;NA;1760;NA
"cheese, parmesan, grated, refrigerated";"cheese, parmesan, grated, refrigerated";NA;NA;1525;1525;NA;NA;1525;NA
"cheese, pasteurized process, american, vitamin d fortified";"cheese, pasteurized process, american, vitamin d fortified";NA;NA;1660;1660;NA;NA;1660;NA
"cheese, ricotta, whole milk, lucerne";"cheese, ricotta, whole milk, lucerne";NA;NA;232;NA;NA;NA;232;NA
"cheese, ricotta, whole milk, polly";"cheese, ricotta, whole milk, polly";311;NA;311;NA;NA;NA;311;NA
"cheese, swiss";"cheese, swiss";1640;NA;1640;1640;NA;NA;1640;NA
"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";NA;NA;695;NA;NA;NA;695;NA
"chicken, broilers or fryers, drumstick, meat only, cooked, braised";"chicken, broilers or fryers, drumstick, meat only, cooked, braised";NA;NA;652;NA;NA;NA;652;NA
"chorizo pork sausage, johnsonville, cooked";"chorizo pork sausage, johnsonville, cooked";NA;NA;837;NA;NA;NA;NA;NA
"chorizo pork sausage, mixed brand, cooked";"chorizo pork sausage, mixed brand, cooked";1120;NA;1120;NA;NA;NA;1120;NA
"cookies, oatmeal, soft, with raisins";"cookies, oatmeal, soft, with raisins";1800;NA;1800;1800;NA;NA;1800;NA
"cranberry juice, not fortified, from concentrate, shelf stable";"cranberry juice, not fortified, from concentrate, shelf stable";1164;NA;NA;1164;NA;NA;1164;NA
"cranberry juice, shelf stable, from concentrate, not fortified";"cranberry juice, shelf stable, from concentrate, not fortified";1520;NA;NA;NA;NA;NA;1520;NA
"eggs, whites ";"eggs, whites ";NA;NA;0.45;NA;NA;NA;NA;NA
"eggs, whole ";"eggs, whole ";NA;NA;451;NA;NA;NA;NA;NA
"eggs, yolk ";"eggs, yolk ";NA;NA;53.1;NA;NA;NA;NA;NA
"fish, haddock, raw";"fish, haddock, raw";NA;NA;308;NA;NA;NA;308;NA
"fish, tuna, light, canned in water, drained solids";"fish, tuna, light, canned in water, drained solids";NA;NA;376;376;NA;NA;376;NA
"flour, ";"flour, ";263.805372;NA;263.805372;NA;NA;NA;263.805372;NA
"flour, all";"flour, all";NA;NA;14;NA;NA;NA;NA;NA
"flour, all purpose ";"flour, all purpose ";297;NA;NA;NA;NA;NA;297;NA
"flour, almond";"flour, almond";666.8;NA;666.8;NA;NA;NA;666.8;NA
"flour, almond, blanched";"flour, almond, blanched";765;NA;765;NA;NA;NA;765;NA
"flour, bread, white ";"flour, bread, white ";160;NA;NA;NA;NA;NA;160;NA
"flour, bread, white, enriched";"flour, bread, white, enriched";NA;NA;7.42;NA;NA;NA;NA;NA
"flour, bread, white, enriched, unbleached";"flour, bread, white, enriched, unbleached";1520;NA;1520;NA;NA;NA;1520;NA
"flour, corn, enriched";"flour, corn, enriched";NA;NA;11.8;NA;NA;NA;NA;NA
"flour, corn, yellow ";"flour, corn, yellow ";348;NA;NA;NA;NA;NA;348;NA
"flour, corn, yellow, fine meal, enriched";"flour, corn, yellow, fine meal, enriched";1520;NA;1520;1520;NA;NA;1520;NA
"flour, oat, whole grain";"flour, oat, whole grain";389.125;NA;389.125;NA;NA;NA;389.125;NA
"flour, pastry, unenriched, unbleached";"flour, pastry, unenriched, unbleached";NA;NA;1500;NA;NA;NA;1500;NA
"flour, pastry, white ";"flour, pastry, white ";NA;NA;157;NA;NA;NA;157;NA
"flour, potato";"flour, potato";1790;NA;1790;NA;NA;NA;1790;NA
"flour, rice, brown";"flour, rice, brown";NA;NA;961.103;NA;NA;NA;961.103;NA
"flour, rice, brown ";"flour, rice, brown ";NA;NA;343;NA;NA;NA;343;NA
"flour, rice, glutenous";"flour, rice, glutenous";NA;NA;135;NA;NA;NA;135;NA
"flour, rice, glutinous";"flour, rice, glutinous";NA;NA;1500;NA;NA;NA;1500;NA
"flour, rice, white";"flour, rice, white";123;NA;1.58;NA;NA;NA;123;NA
"flour, rice, white ";"flour, rice, white ";102;NA;NA;NA;NA;NA;102;NA
"flour, rice, white, unenriched";"flour, rice, white, unenriched";1500;NA;750.945;NA;NA;NA;1500;NA
"flour, semolina, coarse";"flour, semolina, coarse";223.5;NA;223.5;NA;NA;NA;223.5;NA
"flour, semolina, coarse and semi";"flour, semolina, coarse and semi";365.0310665;NA;365.0310665;NA;NA;NA;365.0310665;NA
"flour, semolina, fine";"flour, semolina, fine";301.47845625;NA;301.47845625;NA;NA;NA;301.47845625;NA
"flour, semolina, semi";"flour, semolina, semi";213;NA;213;NA;NA;NA;213;NA
"flour, spelt, whole grain";"flour, spelt, whole grain";417.8395;NA;417.8395;NA;NA;NA;417.8395;NA
"flour, wheat, all";"flour, wheat, all";1530;NA;1530;NA;NA;NA;1530;NA
"flour, whole grain oat";"flour, whole grain oat";482;NA;482;NA;NA;NA;482;NA
"flour, whole wheat ";"flour, whole wheat ";528;NA;NA;NA;NA;NA;528;NA
"flour, whole wheat, unenriched";"flour, whole wheat, unenriched";1550;NA;1550;NA;NA;NA;1550;NA
"folate, cheddar cheese, sliced, cracker barrel ";"folate, cheddar cheese, sliced, cracker barrel ";18;NA;NA;NA;NA;NA;NA;NA
"folate, cheddar cheese, sliced, sargento sharp  ";"folate, cheddar cheese, sliced, sargento sharp  ";30;NA;NA;NA;NA;NA;NA;NA
"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese ";"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese ";24;NA;NA;NA;NA;NA;NA;NA
"folate, cheddar cheese, sliced, tillamook ";"folate, cheddar cheese, sliced, tillamook ";14;NA;NA;NA;NA;NA;NA;NA
"folate, cheese, swiss, slices ";"folate, cheese, swiss, slices ";11;NA;NA;NA;NA;NA;NA;NA
"folate, cottage cheese, ";"folate, cottage cheese, ";13;NA;NA;NA;NA;NA;NA;NA
"folate, mozzarella cheese, low";"folate, mozzarella cheese, low";30;NA;NA;NA;NA;NA;NA;NA
"folate, mustard, yellow, frenchs classic ";"folate, mustard, yellow, frenchs classic ";8;NA;NA;NA;NA;NA;NA;NA
"folate, onion rings, frozen, alexia ";"folate, onion rings, frozen, alexia ";28;NA;NA;NA;NA;NA;NA;NA
"folate, onion rings, frozen, ore";"folate, onion rings, frozen, ore";41;NA;NA;NA;NA;NA;NA;NA
"folate, onion rings, frozen, store brand/other ";"folate, onion rings, frozen, store brand/other ";35;NA;NA;NA;NA;NA;NA;NA
"folate, parmesan cheese, grated, kraft ";"folate, parmesan cheese, grated, kraft ";6;NA;NA;NA;NA;NA;NA;NA
"folate, peanut butter, creamy, jif ";"folate, peanut butter, creamy, jif ";93;NA;NA;NA;NA;NA;NA;NA
"folate, peanut butter, creamy, skippy ";"folate, peanut butter, creamy, skippy ";93;NA;NA;NA;NA;NA;NA;NA
"folate, peanut butter, creamy, store brand/other brand, great value ";"folate, peanut butter, creamy, store brand/other brand, great value ";78;NA;NA;NA;NA;NA;NA;NA
"folate, peanut butter, creamy, store brand/other brand, kroger ";"folate, peanut butter, creamy, store brand/other brand, kroger ";84;NA;NA;NA;NA;NA;NA;NA
"folate, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite ";"folate, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite ";78;NA;NA;NA;NA;NA;NA;NA
"folate, pickles, kosher dill, spears, vlasic ";"folate, pickles, kosher dill, spears, vlasic ";8;NA;NA;NA;NA;NA;NA;NA
"folate, whole wheat bread, natures own ";"folate, whole wheat bread, natures own ";55;NA;NA;NA;NA;NA;NA;NA
"folate, whole wheat bread, store brand/other ";"folate, whole wheat bread, store brand/other ";60;NA;NA;NA;NA;NA;NA;NA
"folate, whole wheat bread, stroehmann dutch county ";"folate, whole wheat bread, stroehmann dutch county ";27;NA;NA;NA;NA;NA;NA;NA
"folate, yogurt, greek, strawberry, non";"folate, yogurt, greek, strawberry, non";20;NA;NA;NA;NA;NA;NA;NA
"folates, lettuce, romaine, fresh ";"folates, lettuce, romaine, fresh ";67;NA;NA;NA;NA;NA;NA;NA
"frankfurter, beef, unheated";"frankfurter, beef, unheated";1310;NA;1310;1310;NA;NA;1310;NA
"grape juice, purple, from concentrate with added vitamin c, shelf stable";"grape juice, purple, from concentrate with added vitamin c, shelf stable";326.5;NA;NA;NA;NA;NA;326.5;NA
"grape juice, purple, with added vitamin c, from concentrate, shelf stable";"grape juice, purple, with added vitamin c, from concentrate, shelf stable";227.7;NA;NA;227.7;NA;NA;227.7;NA
"grape juice, white, from concentrate with added vitamin c, shelf stable";"grape juice, white, from concentrate with added vitamin c, shelf stable";309;NA;NA;NA;NA;NA;309;NA
"grape juice, white, with added vitamin c, from concentrate, shelf stable";"grape juice, white, with added vitamin c, from concentrate, shelf stable";216.7;NA;NA;216.7;NA;NA;216.7;NA
"grapefruit juice white shelf stable ";"grapefruit juice white shelf stable ";160;NA;160;NA;NA;NA;NA;NA
"grapefruit juice, red, not fortified, not from concentrate, refrigerated";"grapefruit juice, red, not fortified, not from concentrate, refrigerated";1075;NA;NA;1075;NA;NA;1075;NA
"grapefruit juice, red, refrigerated, not fortified, not from concentrate";"grapefruit juice, red, refrigerated, not fortified, not from concentrate";1350;NA;NA;NA;NA;NA;1350;NA
"grapefruit juice, white, canned or bottled, unsweetened";"grapefruit juice, white, canned or bottled, unsweetened";157;NA;157;157;NA;NA;157;NA
"grapefruit juice, white, shelf stable ";"grapefruit juice, white, shelf stable ";NA;NA;NA;NA;NA;NA;91;NA
"grapes, green, seedless, raw";"grapes, green, seedless, raw";NA;NA;NA;218.1;NA;NA;NA;NA
"grapes, red, seedless, raw";"grapes, red, seedless, raw";NA;NA;NA;229.4;NA;NA;NA;NA
"ham, sliced, restaurant";"ham, sliced, restaurant";NA;NA;NA;1030;NA;NA;NA;NA
"hot dogs beef";"hot dogs beef";1040;NA;1040;NA;NA;NA;1040;NA
"hummus";"hummus";489;NA;489;NA;NA;NA;NA;NA
"hummus ";"hummus ";NA;NA;NA;NA;NA;NA;258;NA
"hummus, commercial";"hummus, commercial";960;NA;960;960;NA;NA;960;NA
"italian pork sausage, great value, cooked";"italian pork sausage, great value, cooked";NA;NA;772;NA;NA;NA;772;NA
"italian pork sausage, johnsonville mild, cooked";"italian pork sausage, johnsonville mild, cooked";737;NA;737;NA;NA;NA;737;NA
"italian pork sausage, store/other, cooked";"italian pork sausage, store/other, cooked";NA;NA;NA;NA;NA;NA;1010;NA
"kale";"kale";389;NA;389;NA;NA;NA;NA;NA
"kale ";"kale ";NA;NA;NA;NA;NA;NA;8560;NA
"kale, frozen, cooked, boiled, drained, without salt";"kale, frozen, cooked, boiled, drained, without salt";4980;NA;4980;4980;NA;NA;4980;NA
"kale, raw";"kale, raw";6260;NA;6260;6260;NA;NA;6260;NA
"ketchup, restaurant";"ketchup, restaurant";NA;NA;NA;949;NA;NA;NA;NA
"milk, skim";"milk, skim";NA;NA;5.58;NA;NA;NA;5.58;NA
"milk, whole";"milk, whole";NA;NA;5.37;NA;NA;NA;5.37;NA
"mushroom, beech";"mushroom, beech";NA;NA;375.9;NA;NA;NA;375.9;NA
"mushroom, crimini";"mushroom, crimini";NA;NA;380.3;NA;NA;NA;380.3;NA
"mushroom, enoki";"mushroom, enoki";NA;NA;402.3;NA;NA;NA;402.3;NA
"mushroom, king oyster";"mushroom, king oyster";NA;NA;294.5;NA;NA;NA;294.5;NA
"mushroom, lion's mane";"mushroom, lion's mane";443.3;NA;443.3;NA;NA;NA;443.3;NA
"mushroom, maitake";"mushroom, maitake";NA;NA;260;NA;NA;NA;260;NA
"mushroom, oyster";"mushroom, oyster";281.6;NA;281.6;NA;NA;NA;281.6;NA
"mushroom, pioppini";"mushroom, pioppini";NA;NA;392.4;NA;NA;NA;392.4;NA
"mushroom, portabella";"mushroom, portabella";NA;NA;349.3;NA;NA;NA;349.3;NA
"mushrooms, crimini";"mushrooms, crimini";NA;NA;425;NA;NA;NA;425;NA
"mushrooms, enoki";"mushrooms, enoki";NA;NA;435;NA;NA;NA;435;NA
"mushrooms, hon";"mushrooms, hon";NA;NA;554;NA;NA;NA;554;NA
"mushrooms, king oyster";"mushrooms, king oyster";NA;NA;364;NA;NA;NA;364;NA
"mushrooms, lions mane";"mushrooms, lions mane";574;NA;574;NA;NA;NA;574;NA
