"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"almond butter, creamy";"almond butter, creamy";772.2;772.2;NA;NA;772.2;772.2;772.2;0.5
"almond milk, refrigerated, unsweetened";"almond milk, refrigerated, unsweetened";225;225;225;NA;225;225;225;0.5
"almond milk, unsweetened, plain, refrigerated";"almond milk, unsweetened, plain, refrigerated";157.5;157.5;157.5;NA;157.5;157.5;157.5;0.5
"amino acids, cheese, dry white, queso seco, mixed composite ";"amino acids, cheese, dry white, queso seco, mixed composite ";NA;5.35;NA;NA;5.35;5.35;NA;0.5
"amino acids, chicken, dark meat, lean only, drumstick, raw, non";"amino acids, chicken, dark meat, lean only, drumstick, raw, non";NA;3.17;NA;NA;3.17;3.17;NA;0.5
"amino acids, chicken, dark meat, lean only, thigh, raw, non";"amino acids, chicken, dark meat, lean only, thigh, raw, non";NA;3.21;NA;NA;3.21;3.21;NA;0.5
"amino acids, chicken, skin, raw, from drumsticks and thighs, non";"amino acids, chicken, skin, raw, from drumsticks and thighs, non";NA;1.31;NA;NA;1.31;1.31;NA;0.5
"amino acids, greek yogurt, chobani plain non";"amino acids, greek yogurt, chobani plain non";NA;2.08;NA;NA;2.08;2.08;NA;0.5
"amino acids, greek yogurt, dannon oikos plain non";"amino acids, greek yogurt, dannon oikos plain non";NA;2.22;NA;NA;2.22;2.22;NA;0.5
"amino acids, greek yogurt, fage plain nonfat ";"amino acids, greek yogurt, fage plain nonfat ";NA;2.27;NA;NA;2.27;2.27;NA;0.5
"amino acids, ground turkey, ";"amino acids, ground turkey, ";NA;2.98;NA;NA;2.98;2.98;NA;0.5
"amino acids, pollock, raw ";"amino acids, pollock, raw ";NA;2.08;NA;NA;2.08;2.08;NA;0.5
"amino acids, pupusas, bean, flat stuffed corn biscuit ";"amino acids, pupusas, bean, flat stuffed corn biscuit ";NA;1.07;NA;NA;1.07;1.07;NA;0.5
"amino acids, sweet and sour pork, chinese restaurant ";"amino acids, sweet and sour pork, chinese restaurant ";NA;2;NA;NA;2;2;NA;0.5
"amino acids, tamale, pork ";"amino acids, tamale, pork ";NA;1.24;NA;NA;1.24;1.24;NA;0.5
"beef breakfast sausage, banquet brown n serve sausage links";"beef breakfast sausage, banquet brown n serve sausage links";NA;794;794;NA;794;794;794;0.5
"broccoli, cooked, region ";"broccoli, cooked, region ";853;853;853;NA;853;853;853;0.5
"broccoli, pass ";"broccoli, pass ";317;317;317;NA;317;317;317;0.5
"broccoli, raw";"broccoli, raw";745;745;745;745;745;745;745;0.5
"broccoli, region ";"broccoli, region ";326;326;326;NA;326;326;326;0.5
"broccoli, steamed, pass ";"broccoli, steamed, pass ";3170;3170;3170;NA;3170;3170;3170;0.5
"butter, stick, salted";"butter, stick, salted";835;835;835;758;835;835;835;0.5
"cantaloupe, raw, pass ";"cantaloupe, raw, pass ";4710;4710;4710;NA;4710;4710;4710;0.5
"carrots, frozen, unprepared";"carrots, frozen, unprepared";210;210;210;210;210;210;210;0.5
"carrots, frozen, unprepared ";"carrots, frozen, unprepared ";210;210;210;210;210;210;210;0.5
"carrots, sliced or crinkle cut, frozen, unprepared ";"carrots, sliced or crinkle cut, frozen, unprepared ";290;290;290;NA;290;290;290;0.5
"carrots, whole, unprepared ";"carrots, whole, unprepared ";NA;198;198;NA;198;198;198;0.5
"carrots, whole, unprepared, amino acids repeat ";"carrots, whole, unprepared, amino acids repeat ";NA;0.24;NA;NA;0.24;0.24;NA;0.5
"cheese, dry white, queso seco";"cheese, dry white, queso seco";NA;1810;1810;1810;1810;1810;1810;0.5
"cheese, ricotta, whole milk";"cheese, ricotta, whole milk";657;657;657;NA;657;657;657;0.5
"cheese, ricotta, whole milk, galbani";"cheese, ricotta, whole milk, galbani";291;291;291;NA;291;291;291;0.5
"cheese, ricotta, whole milk, store/other";"cheese, ricotta, whole milk, store/other";NA;375;375;NA;375;375;375;0.5
"eggs, grade a, large, egg white";"eggs, grade a, large, egg white";NA;231;231;NA;231;231;NA;0.5
"eggs, grade a, large, egg whole";"eggs, grade a, large, egg whole";617;617;617;617;617;617;617;0.5
"eggs, grade a, large, egg yolk";"eggs, grade a, large, egg yolk";NA;1400;1400;NA;1400;1400;NA;0.5
"eggs, whites";"eggs, whites";NA;88.4;88.4;NA;88.4;88.4;NA;0.5
"eggs, whole";"eggs, whole";442;442;442;NA;442;442;442;0.5
"eggs, yolk";"eggs, yolk";NA;1400;1400;NA;1400;1400;NA;0.5
"figs, dried, pass ";"figs, dried, pass ";667;667;667;NA;667;667;667;0.5
"figs, dried, uncooked";"figs, dried, uncooked";1040;1040;1040;1040;1040;1040;1040;0.5
"fish, pollock, raw";"fish, pollock, raw";NA;333;333;NA;333;333;333;0.5
"flaxseed, ground";"flaxseed, ground";793.4;793.4;NA;NA;793.4;793.4;793.4;0.5
"flour, soy ";"flour, soy ";NA;2520;2520;NA;2520;2520;2520;0.5
"flour, soy, defatted";"flour, soy, defatted";NA;2480;2480;NA;2480;2480;2480;0.5
"flour, soy, full";"flour, soy, full";NA;1890;1890;NA;1890;1890;1890;0.5
"flour, soy, full fat";"flour, soy, full fat";NA;2030;2030;NA;2030;2030;2030;0.5
"flour, soy, full fat ";"flour, soy, full fat ";NA;1920;1920;NA;1920;1920;1920;0.5
"ground flaxseed meal";"ground flaxseed meal";1490;1490;NA;NA;1490;1490;1490;0.5
"kiwi, pass ";"kiwi, pass ";130;130;130;NA;130;130;130;0.5
"kiwi, region ";"kiwi, region ";314;314;314;NA;314;314;314;0.5
