"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"beef, short loin, porterhouse steak, separable lean only, trimmed to ";"beef, short loin, porterhouse steak, separable lean only, trimmed to ";0;0;17.6923076923077;0;0;0;57.7692307692308;0
"beef, short loin, t";"beef, short loin, t";0;0;20.7692307692308;0;0;0;57.9230769230769;0
"blueberries, raw";"blueberries, raw";0;0;0;37.424;0;0;0;0
"bread, white, commercially prepared";"bread, white, commercially prepared";0;0;18.4615384615385;21.36;0;0;7.07692307692308;0
"bread, whole";"bread, whole";10.5;0;12.7692307692308;17.64;0;0;16.6153846153846;0
"broccoli, cooked, region ";"broccoli, cooked, region ";11.1071428571429;0.212532865907099;2.56043956043956;0;1.30861504907306;4.7112462006079;3.92307692307692;8.62533692722372
"broccoli, pass ";"broccoli, pass ";2.98214285714286;0.328659070990359;3.1043956043956;0;2.453653217012;3.79939209726444;5.12637362637363;12.8571428571429
"broccoli, raw";"broccoli, raw";16.25;1.79447852760736;8.76923076923077;5.6;12.5954198473282;26.5957446808511;14.6923076923077;79.0419161676647
"broccoli, region ";"broccoli, region ";6.26785714285714;0.185144609991236;1.89010989010989;0;1.17230098146129;3.83738601823708;3.28571428571429;9.08969661784204
"broccoli, steamed, pass ";"broccoli, steamed, pass ";4.25;0.262927256792288;2.84615384615385;0;2.72628135223555;4.55927051671733;4.89010989010989;15.8730158730159
"butter, stick, salted";"butter, stick, salted";1.27083333333333;0.383435582822086;0;1.16;3.81679389312977;8.95390070921986;0;95.6190476190476
"buttermilk, low fat";"buttermilk, low fat";0;0;15.1;0;0;0;3.02384615384615;0
"buttermilk, lowfat";"buttermilk, lowfat";0;0;15.0961538461538;0;0;0;3.02403846153846;0
"cantaloupe, raw, pass ";"cantaloupe, raw, pass ";1.23076923076923;0.0448324681453516;0.443786982248521;0;0.117439812096301;0.941080196399345;1.04733727810651;4.06260406260406
"cantaloupe, raw, region ";"cantaloupe, raw, region ";0.75;0;0.923076923076923;0;0;0;0.923076923076923;0
"carrots, baby, raw";"carrots, baby, raw";10.9125;0;8.89230769230769;0;0;0;8.81538461538462;0
"carrots, baby, raw, peeled";"carrots, baby, raw, peeled";10.9125;0;8.89423076923077;0;0;0;8.81730769230769;0
