"food";"Folate, total";"Iron, Fe";"MUFA 12:1";"MUFA 14:1 c";"MUFA 15:1";"MUFA 16:1 c";"MUFA 17:1";"MUFA 17:1 c";"MUFA 18:1";"MUFA 18:1 c";"MUFA 20:1";"MUFA 20:1 c";"MUFA 22:1";"MUFA 22:1 c";"MUFA 22:1 n-11";"MUFA 22:1 n-9";"MUFA 24:1 c";"Phenylalanine";"PUFA 18:2";"PUFA 18:2 c";"PUFA 18:2 CLAs";"PUFA 18:2 n-6 c,c";"PUFA 18:3";"PUFA 18:3 c";"PUFA 18:3 n-3 c,c,c (ALA)";"PUFA 18:3 n-6 c,c,c";"PUFA 18:3i";"PUFA 18:4";"PUFA 20:2 c";"PUFA 20:2 n-6 c,c";"PUFA 20:3";"PUFA 20:3 c";"PUFA 20:3 n-3";"PUFA 20:3 n-9";"PUFA 20:4";"PUFA 20:4 n-6";"PUFA 20:4c";"PUFA 20:5 n-3 (EPA)";"PUFA 20:5c";"PUFA 22:2";"PUFA 22:3";"PUFA 22:4";"PUFA 22:5 c";"PUFA 22:5 n-3 (DPA)";"PUFA 22:6 c";"PUFA 22:6 n-3 (DHA)";"Riboflavin";"SFA 14:0";"SFA 15:0";"SFA 16:0";"SFA 17:0";"SFA 18:0";"SFA 20:0";"SFA 21:0";"SFA 22:0";"SFA 23:0";"SFA 24:0";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"Vitamin D3 (cholecalciferol)";"holyRatio"
"almonds dry roasted salted";"almonds dry roasted salted";11;54.4478527607362;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;1.86;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"almonds, dry roasted, salted ";"almonds, dry roasted, salted ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"american cheese";"american cheese";-Inf;31.058282208589;1.80769230769231;1.056;0;221.542553191489;4.76923076923077;-Inf;-Inf;6.255;-Inf;0.0555;-Inf;-Inf;0.002;0.002;0.0015;-Inf;-Inf;-Inf;0.163;1.205;-Inf;-Inf;0.1825;0.0135;-Inf;0.007;-Inf;0.007;-Inf;-Inf;0.002;0;0.048;0.039;-Inf;0.0115;-Inf;0.0035;5e-04;0.009;-Inf;0.021;-Inf;0.005;-Inf;3.02;0.332;8.9;0.189;3.33;0.0475;0.0075;0.019;0;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"amino acids, cheese, dry white, queso seco, mixed composite";"amino acids, cheese, dry white, queso seco, mixed composite";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;1.17;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.31;1.275;-Inf;-Inf;0.126798260287722
"amino acids, chicken, dark meat, lean only, drumstick, raw, non";"amino acids, chicken, dark meat, lean only, drumstick, raw, non";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.7525;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.2125;0.705;-Inf;-Inf;0.145805764929778
"amino acids, chicken, dark meat, lean only, thigh, raw, non";"amino acids, chicken, dark meat, lean only, thigh, raw, non";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.77;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.2175;0.7275;-Inf;-Inf;0.145230147365909
"amino acids, chicken, skin, raw, from drumsticks and thighs, non";"amino acids, chicken, skin, raw, from drumsticks and thighs, non";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.2925;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0475;0.2275;-Inf;-Inf;0.0913639403511768
"amino acids, greek yogurt, chobani plain non";"amino acids, greek yogurt, chobani plain non";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.49;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.13;0.49;-Inf;-Inf;0.13265306122449
"amino acids, greek yogurt, dannon oikos plain non";"amino acids, greek yogurt, dannon oikos plain non";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.53;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.14;0.52;-Inf;-Inf;0.133333333333333
"amino acids, greek yogurt, fage plain nonfat";"amino acids, greek yogurt, fage plain nonfat";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.52;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.13;0.52;-Inf;-Inf;0.125
