"food";"Folate, total";"Iron, Fe";"MUFA 12:1";"MUFA 14:1 c";"MUFA 15:1";"MUFA 16:1 c";"MUFA 17:1";"MUFA 17:1 c";"MUFA 18:1";"MUFA 18:1 c";"MUFA 20:1";"MUFA 20:1 c";"MUFA 22:1";"MUFA 22:1 c";"MUFA 22:1 n-11";"MUFA 22:1 n-9";"MUFA 24:1 c";"Phenylalanine";"PUFA 18:2";"PUFA 18:2 c";"PUFA 18:2 CLAs";"PUFA 18:2 n-6 c,c";"PUFA 18:3";"PUFA 18:3 c";"PUFA 18:3 n-3 c,c,c (ALA)";"PUFA 18:3 n-6 c,c,c";"PUFA 18:3i";"PUFA 18:4";"PUFA 20:2 c";"PUFA 20:2 n-6 c,c";"PUFA 20:3";"PUFA 20:3 c";"PUFA 20:3 n-3";"PUFA 20:3 n-9";"PUFA 20:4";"PUFA 20:4 n-6";"PUFA 20:4c";"PUFA 20:5 n-3 (EPA)";"PUFA 20:5c";"PUFA 22:2";"PUFA 22:3";"PUFA 22:4";"PUFA 22:5 c";"PUFA 22:5 n-3 (DPA)";"PUFA 22:6 c";"PUFA 22:6 n-3 (DHA)";"Riboflavin";"SFA 14:0";"SFA 15:0";"SFA 16:0";"SFA 17:0";"SFA 18:0";"SFA 20:0";"SFA 21:0";"SFA 22:0";"SFA 23:0";"SFA 24:0";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"Vitamin D3 (cholecalciferol)";"holyRatio"
"fa, chicken, dark meat, lean only, thigh, braised, non";"fa, chicken, dark meat, lean only, thigh, braised, non";-Inf;-Inf;-Inf;-Inf;0;267.154255319149;0.557692307692308;-Inf;-Inf;2.85;0.03225;-Inf;-Inf;0.00125;-Inf;-Inf;0.00775;-Inf;-Inf;-Inf;0.00825;1.3175;-Inf;-Inf;0.0515;0.01225;-Inf;0.00075;-Inf;0.0105;-Inf;-Inf;0.00025;-Inf;0.08;0.01975;-Inf;0.00875;-Inf;5e-04;-Inf;0.01875;-Inf;0.00725;-Inf;0.00425;-Inf;0.04475;0.00625;1.7825;0.009;0.48325;0.0045;-Inf;0.00775;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, dark meat, lean only, thigh, raw, enhanced";"fa, chicken, dark meat, lean only, thigh, raw, enhanced";-Inf;-Inf;-Inf;-Inf;0;119.68085106383;0.230769230769231;-Inf;-Inf;1.19;0.016;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.01;0.697;-Inf;-Inf;0.031;0.008;-Inf;0;-Inf;0.007;-Inf;-Inf;0;-Inf;0.083;0.016;-Inf;0.002;-Inf;0;-Inf;0.02;-Inf;0.01;-Inf;0.005;-Inf;0.017;0.003;0.744;0.004;0.229;0.002;-Inf;0.006;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, dark meat, lean only, thigh, raw, non";"fa, chicken, dark meat, lean only, thigh, raw, non";-Inf;-Inf;-Inf;-Inf;0;106.914893617021;0.211538461538462;-Inf;-Inf;1.1875;0.01425;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.0065;0.71;-Inf;-Inf;0.028;0.007;-Inf;0.00075;-Inf;0.00775;-Inf;-Inf;0;-Inf;0.09225;0.01675;-Inf;0.0025;-Inf;0;-Inf;0.02075;-Inf;0.0085;-Inf;0.00675;-Inf;0.01825;0.003;0.74825;0.004;0.2395;0.003;-Inf;0.00825;-Inf;0.00125;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, dark meat, lean only, thigh, roasted, enhanced";"fa, chicken, dark meat, lean only, thigh, roasted, enhanced";-Inf;-Inf;-Inf;-Inf;0;313.297872340425;0.538461538461538;-Inf;-Inf;2.98;0.033;-Inf;-Inf;0.001;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.008;1.43;-Inf;-Inf;0.062;0.019;-Inf;0.001;-Inf;0.01;-Inf;-Inf;0;-Inf;0.076;0.022;-Inf;0.004;-Inf;0;-Inf;0.018;-Inf;0.008;-Inf;0.004;-Inf;0.046;0.007;1.85;0.008;0.472;0.004;-Inf;0.008;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, dark meat, lean only, thigh, roasted, non";"fa, chicken, dark meat, lean only, thigh, roasted, non";-Inf;-Inf;-Inf;-Inf;0;262.367021276596;0.557692307692308;-Inf;-Inf;2.7875;0.0295;-Inf;-Inf;0.00075;-Inf;-Inf;0.003;-Inf;-Inf;-Inf;0.00825;1.39;-Inf;-Inf;0.05825;0.01425;-Inf;0.00075;-Inf;0.01025;-Inf;-Inf;0;-Inf;0.07825;0.0205;-Inf;0.005;-Inf;0;-Inf;0.01875;-Inf;0.0075;-Inf;0.00425;-Inf;0.04325;0.00675;1.7375;0.00875;0.4645;0.0045;-Inf;0.00775;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, skin, braised, from drumsticks and thighs, enhanced";"fa, chicken, skin, braised, from drumsticks and thighs, enhanced";-Inf;-Inf;-Inf;-Inf;0;1425.53191489362;2.61538461538462;-Inf;-Inf;14;0.241;-Inf;-Inf;0.005;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.052;7.18;-Inf;-Inf;0.375;0;-Inf;0.009;-Inf;0.042;-Inf;-Inf;0.002;-Inf;0.121;0.059;-Inf;0.007;-Inf;0.003;-Inf;0.029;-Inf;0.013;-Inf;0.006;-Inf;0.215;0.026;8.38;0.042;1.86;0.027;-Inf;0.02;-Inf;0.003;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, skin, braised, from drumsticks and thighs, non";"fa, chicken, skin, braised, from drumsticks and thighs, non";-Inf;-Inf;-Inf;-Inf;0;1437.5;2.96153846153846;-Inf;-Inf;15.45;0.247;-Inf;-Inf;0.00525;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.05475;7.79;-Inf;-Inf;0.38075;0;-Inf;0.00825;-Inf;0.048;-Inf;-Inf;0.00275;-Inf;0.13425;0.06575;-Inf;0.00725;-Inf;0.00325;-Inf;0.031;-Inf;0.014;-Inf;0.0075;-Inf;0.2475;0.02925;9.3925;0.0385;2.1225;0.028;-Inf;0.023;-Inf;0.003;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, skin, raw, from drumsticks and thighs, enhanced";"fa, chicken, skin, raw, from drumsticks and thighs, enhanced";-Inf;-Inf;-Inf;-Inf;0;1425.53191489362;2.53846153846154;-Inf;-Inf;14;0.156;-Inf;-Inf;0.005;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.047;7.3;-Inf;-Inf;0.381;0.1;-Inf;0.01;-Inf;0.046;-Inf;-Inf;0.002;-Inf;0.116;0.063;-Inf;0.006;-Inf;0.002;-Inf;0.029;-Inf;0.013;-Inf;0.006;-Inf;0.217;0.028;8.34;0.043;1.86;0.027;-Inf;0.02;-Inf;0.003;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, skin, raw, from drumsticks and thighs, non";"fa, chicken, skin, raw, from drumsticks and thighs, non";-Inf;-Inf;-Inf;-Inf;0;1416.22340425532;3;-Inf;-Inf;15.8;0.21375;-Inf;-Inf;0.0055;-Inf;-Inf;0.00075;-Inf;-Inf;-Inf;0.05575;8.165;-Inf;-Inf;0.39725;0.044;-Inf;0.00875;-Inf;0.05075;-Inf;-Inf;0.003;-Inf;0.13325;0.069;-Inf;0.007;-Inf;0.0025;-Inf;0.03;-Inf;0.0145;-Inf;0.0075;-Inf;0.25325;0.0275;9.51;0.05125;2.17;0.029;-Inf;0.02525;-Inf;0.004;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, skin, roasted, from drumsticks and thighs, enhanced";"fa, chicken, skin, roasted, from drumsticks and thighs, enhanced";-Inf;-Inf;-Inf;-Inf;0;1478.72340425532;3.07692307692308;-Inf;-Inf;15.2;0.272;-Inf;-Inf;0.006;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.053;8.2;-Inf;-Inf;0.467;0;-Inf;0.01;-Inf;0.05;-Inf;-Inf;0.003;-Inf;0.142;0.062;-Inf;0.011;-Inf;0.004;-Inf;0.031;-Inf;0.016;-Inf;0.011;-Inf;0.247;0.03;8.91;0.048;2.02;0.031;-Inf;0.023;-Inf;0.004;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fa, chicken, skin, roasted, from drumsticks and thighs, non";"fa, chicken, skin, roasted, from drumsticks and thighs, non";-Inf;-Inf;-Inf;-Inf;0;1486.70212765957;3.05769230769231;-Inf;-Inf;15.825;0.25325;-Inf;-Inf;0.005;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.0565;7.9275;-Inf;-Inf;0.38525;0;-Inf;0.00875;-Inf;0.04825;-Inf;-Inf;0.00325;-Inf;0.14325;0.068;-Inf;0.008;-Inf;0.00275;-Inf;0.0325;-Inf;0.01525;-Inf;0.007;-Inf;0.2575;0.031;9.555;0.0505;2.15;0.029;-Inf;0.02425;-Inf;0.00275;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids,";"fatty acids,";-Inf;-Inf;-Inf;-Inf;0;63.2978723404255;1.03846153846154;-Inf;-Inf;3.515;0.0675;-Inf;-Inf;0.002;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.0195;5.975;-Inf;-Inf;0.428;0.002;-Inf;0;-Inf;0.0165;-Inf;-Inf;0.0035;-Inf;0.0305;0.0055;-Inf;0.0025;-Inf;0;-Inf;0.006;-Inf;0.0045;-Inf;0.002;-Inf;0.088;0.005;2.33;0.02;0.78;0.0375;-Inf;0.0275;-Inf;0.0115;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, american cheese, pasteurized process, kraft ";"fatty acids, american cheese, pasteurized process, kraft ";-Inf;-Inf;-Inf;-Inf;0;196.808510638298;4.61538461538461;-Inf;-Inf;6.33;0.22;-Inf;-Inf;0.003;-Inf;-Inf;0.002;-Inf;-Inf;-Inf;0.019;0.779;-Inf;-Inf;0.133;0;-Inf;0.007;-Inf;0.008;-Inf;-Inf;0;-Inf;0.047;0.033;-Inf;0.012;-Inf;0.006;-Inf;0.008;-Inf;0.021;-Inf;0.003;-Inf;2.92;0.308;8.04;0.189;3.23;0.046;-Inf;0.021;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, american cheese, pasteurized process, kraft deli deluxe ";"fatty acids, american cheese, pasteurized process, kraft deli deluxe ";-Inf;-Inf;-Inf;-Inf;0;219.68085106383;4.69230769230769;-Inf;-Inf;6.35;0.236;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.018;0.761;-Inf;-Inf;0.133;0;-Inf;0.008;-Inf;0.009;-Inf;-Inf;0;-Inf;0.044;0.032;-Inf;0.011;-Inf;0.003;-Inf;0.008;-Inf;0.02;-Inf;0.007;-Inf;2.98;0.313;8.3;0.189;3.19;0.045;-Inf;0.02;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, american cheese, pasteurized process, land";"fatty acids, american cheese, pasteurized process, land";-Inf;-Inf;-Inf;-Inf;0;203.723404255319;4.61538461538461;-Inf;-Inf;6.51;0.223;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.023;0.879;-Inf;-Inf;0.137;0;-Inf;0.007;-Inf;0.009;-Inf;-Inf;0.003;-Inf;0.047;0.037;-Inf;0.012;-Inf;0.003;-Inf;0.01;-Inf;0.021;-Inf;0.005;-Inf;2.94;0.311;8.1;0.19;3.42;0.027;-Inf;0.021;-Inf;0.01;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, american cheese, pasteurized process, mixed store brand ";"fatty acids, american cheese, pasteurized process, mixed store brand ";-Inf;-Inf;-Inf;-Inf;0;214.893617021277;4.76923076923077;-Inf;-Inf;6.37;0.217;-Inf;-Inf;0;-Inf;-Inf;0.0015;-Inf;-Inf;-Inf;0.0165;0.8105;-Inf;-Inf;0.1445;0.003;-Inf;0.0075;-Inf;0.0085;-Inf;-Inf;0.0015;-Inf;0.0435;0.0345;-Inf;0.0125;-Inf;0.003;-Inf;0.008;-Inf;0.0215;-Inf;0.008;-Inf;2.91;0.3115;8.155;0.191;3.19;0.055;-Inf;0.0205;-Inf;0.0095;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, cracker barrel";"fatty acids, cheddar cheese, sliced, cracker barrel";-Inf;-Inf;-Inf;-Inf;0;242.952127659574;5.78846153846154;-Inf;-Inf;7.165;0.06425;-Inf;-Inf;0.00125;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.18125;0.7815;-Inf;-Inf;0.16525;0;0.004;0;-Inf;0.00775;-Inf;-Inf;0.001;0;0.0485;0.0355;-Inf;0.01425;-Inf;0.00075;-Inf;0.00725;-Inf;0.0235;-Inf;0.001;-Inf;3.34;0.3505;9.31;0.224;3.52;0.05525;-Inf;0.0145;-Inf;0.00975;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, sargento natural sharp cheddar deli style";"fatty acids, cheddar cheese, sliced, sargento natural sharp cheddar deli style";-Inf;-Inf;-Inf;-Inf;0;232.446808510638;5.30769230769231;-Inf;-Inf;6.73;0.057;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.185;0.738;-Inf;-Inf;0.158;0;0.003;0;-Inf;0.007;-Inf;-Inf;0;0;0.048;0.033;-Inf;0.013;-Inf;0;-Inf;0.006;-Inf;0.02;-Inf;0.002;-Inf;3.1;0.328;8.76;0.206;3.2;0.048;-Inf;0.011;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, sargento sharp ";"fatty acids, cheddar cheese, sliced, sargento sharp ";-Inf;-Inf;-Inf;-Inf;0;177.260638297872;3.84615384615385;-Inf;-Inf;6.3;0.057;-Inf;-Inf;0.0015;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.1595;0.77125;-Inf;-Inf;0.08975;0.00125;0.003;0;-Inf;0.007;-Inf;-Inf;0.00175;0;0.04775;0.035;-Inf;0.008;-Inf;0.0015;-Inf;0.0085;-Inf;0.01325;-Inf;0;-Inf;2.915;0.295;8.1425;0.17175;3.56;0.04475;-Inf;0.013;-Inf;0.00775;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, store brand, crystal farms & shullsburg wisconsin";"fatty acids, cheddar cheese, sliced, store brand, crystal farms & shullsburg wisconsin";-Inf;-Inf;-Inf;-Inf;0;223.670212765957;4.76923076923077;-Inf;-Inf;6.235;0.0595;-Inf;-Inf;0.001;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.1685;0.679;-Inf;-Inf;0.1595;0.0025;0.004;0;-Inf;0.0065;-Inf;-Inf;0.004;0;0.046;0.029;-Inf;0.0125;-Inf;0.0015;-Inf;0.006;-Inf;0.0225;-Inf;0;-Inf;3.035;0.3145;8.36;0.1935;3.065;0.045;-Inf;0.015;-Inf;0.0095;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, store brand, food lion";"fatty acids, cheddar cheese, sliced, store brand, food lion";-Inf;-Inf;-Inf;-Inf;0;205.851063829787;4.69230769230769;-Inf;-Inf;6.37;0.062;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.191;0.727;-Inf;-Inf;0.17;0;0.004;0;-Inf;0.007;-Inf;-Inf;0;0;0.051;0.032;-Inf;0.015;-Inf;0.004;-Inf;0.007;-Inf;0.024;-Inf;0;-Inf;3.19;0.33;8.4;0.2;3.3;0.051;-Inf;0.013;-Inf;0.01;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, store brand, great value deli style sliced sharp ";"fatty acids, cheddar cheese, sliced, store brand, great value deli style sliced sharp ";-Inf;-Inf;-Inf;-Inf;0;184.042553191489;4.15384615384615;-Inf;-Inf;6.14;0.055;-Inf;-Inf;0.001;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.16;0.764;-Inf;-Inf;0.096;0;0.003;0;-Inf;0.006;-Inf;-Inf;0.002;0;0.05;0.037;-Inf;0.007;-Inf;0.002;-Inf;0.01;-Inf;0.015;-Inf;0;-Inf;2.92;0.341;8.01;0.185;3.24;0.044;-Inf;0.011;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, store brand, hyvee cracker cuts & publix";"fatty acids, cheddar cheese, sliced, store brand, hyvee cracker cuts & publix";-Inf;-Inf;-Inf;-Inf;0;238.297872340426;5;-Inf;-Inf;6.28;0.058;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.177;0.637;-Inf;-Inf;0.117;0;0.004;0;-Inf;0.005;-Inf;-Inf;0;0;0.047;0.03;-Inf;0.01;-Inf;0.003;-Inf;0.007;-Inf;0.017;-Inf;0;-Inf;3.11;0.335;8.97;0.197;2.95;0.047;-Inf;0.012;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese";"fatty acids, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese";-Inf;-Inf;-Inf;-Inf;0;168.085106382979;3.92307692307692;-Inf;-Inf;6.42;0.052;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.17;0.803;-Inf;-Inf;0.091;0;0.003;0;-Inf;0.007;-Inf;-Inf;0;0;0.055;0.037;-Inf;0.007;-Inf;0.003;-Inf;0.01;-Inf;0.013;-Inf;0;-Inf;3.02;0.301;8.1;0.185;3.68;0.049;-Inf;0.014;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, store brand, publix & shoprite";"fatty acids, cheddar cheese, sliced, store brand, publix & shoprite";-Inf;-Inf;-Inf;-Inf;0;261.702127659575;5.07692307692308;-Inf;-Inf;6.52;0.06;-Inf;-Inf;0.002;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.198;0.607;-Inf;-Inf;0.107;0.002;0.004;0;-Inf;0.006;-Inf;-Inf;0.005;0;0.046;0.03;-Inf;0.01;-Inf;0.004;-Inf;0.007;-Inf;0.02;-Inf;0.001;-Inf;3.1;0.317;9.27;0.189;2.96;0.044;-Inf;0.012;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, store brand, sunnyside farms deli style sliced medium";"fatty acids, cheddar cheese, sliced, store brand, sunnyside farms deli style sliced medium";-Inf;-Inf;-Inf;-Inf;0;186.170212765957;3.76923076923077;-Inf;-Inf;6.42;0.058;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.151;0.824;-Inf;-Inf;0.085;0;0.003;0;-Inf;0.007;-Inf;-Inf;0;0;0.054;0.041;-Inf;0.008;-Inf;0;-Inf;0.01;-Inf;0.013;-Inf;0;-Inf;3.17;0.344;8.76;0.189;3.77;0.046;-Inf;0.011;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, storebrand, kroger";"fatty acids, cheddar cheese, sliced, storebrand, kroger";-Inf;-Inf;-Inf;-Inf;0;245.212765957447;5.30769230769231;-Inf;-Inf;6.4;0.061;-Inf;-Inf;0.001;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.162;0.691;-Inf;-Inf;0.157;0;0.004;0.001;-Inf;0.007;-Inf;-Inf;0.003;0;0.045;0.031;-Inf;0.012;-Inf;0;-Inf;0.007;-Inf;0.024;-Inf;0.001;-Inf;3.3;0.347;9.18;0.211;3.01;0.047;-Inf;0.012;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheddar cheese, sliced, tillamook";"fatty acids, cheddar cheese, sliced, tillamook";-Inf;-Inf;-Inf;-Inf;0;198.13829787234;4.73076923076923;-Inf;-Inf;6.345;0.07;-Inf;-Inf;0.0025;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.1535;0.7425;-Inf;-Inf;0.129;0.0015;0.0035;0.001;-Inf;0.007;-Inf;-Inf;0.0015;0;0.0495;0.038;-Inf;0.011;-Inf;0.003;-Inf;0.0085;-Inf;0.02;-Inf;0.002;-Inf;3.35;0.368;9.085;0.215;3.62;0.055;-Inf;0.015;-Inf;0.0105;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, mild, block/chunk kraft";"fatty acids, cheese, cheddar, mild, block/chunk kraft";-Inf;-Inf;-Inf;-Inf;0;206.382978723404;4.15384615384615;-Inf;-Inf;6.72;0.0683333333333333;-Inf;-Inf;0.000333333333333333;-Inf;-Inf;0.000666666666666667;-Inf;-Inf;-Inf;0.159666666666667;0.819666666666667;-Inf;-Inf;0.092;0.003;0.00166666666666667;0;-Inf;0.00766666666666667;-Inf;-Inf;0.000333333333333333;0;0.056;0.0386666666666667;-Inf;0.008;-Inf;0.00233333333333333;-Inf;0.00966666666666667;-Inf;0.015;-Inf;0.00233333333333333;-Inf;3.02666666666667;0.313666666666667;8.69;0.189;3.64;0.0513333333333333;-Inf;0.017;-Inf;0.00933333333333333;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, mild, block/chunk, store brand, fareway ";"fatty acids, cheese, cheddar, mild, block/chunk, store brand, fareway ";-Inf;-Inf;-Inf;-Inf;0;205.851063829787;4.61538461538461;-Inf;-Inf;6.91;0.064;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.16;0.912;-Inf;-Inf;0.1;0.004;0.004;0.006;-Inf;0.007;-Inf;-Inf;0.002;0;0.054;0.039;-Inf;0.008;-Inf;0.002;-Inf;0.011;-Inf;0.016;-Inf;0.001;-Inf;2.89;0.317;8.29;0.189;3.56;0.047;-Inf;0.017;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, mild, block/chunk, store brand, food club ";"fatty acids, cheese, cheddar, mild, block/chunk, store brand, food club ";-Inf;-Inf;-Inf;-Inf;0;197.340425531915;4.61538461538461;-Inf;-Inf;7.05;0.067;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.179;0.916;-Inf;-Inf;0.1;0.003;0;0;-Inf;0.008;-Inf;-Inf;0.002;0;0.058;0.038;-Inf;0.009;-Inf;0.003;-Inf;0.012;-Inf;0.017;-Inf;0.002;-Inf;2.91;0.319;8.27;0.19;3.64;0.051;-Inf;0.016;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, mild, block/chunk, store brand, great value";"fatty acids, cheese, cheddar, mild, block/chunk, store brand, great value";-Inf;-Inf;-Inf;-Inf;0;212.234042553192;4.30769230769231;-Inf;-Inf;6.85;0.062;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.174;0.879;-Inf;-Inf;0.092;0.003;0.004;0;-Inf;0.008;-Inf;-Inf;0;0;0.057;0.037;-Inf;0.008;-Inf;0.002;-Inf;0.01;-Inf;0.015;-Inf;0;-Inf;2.89;0.319;8.25;0.184;3.48;0.042;-Inf;0.014;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded mild, kraft";"fatty acids, cheese, cheddar, natural shredded mild, kraft";-Inf;-Inf;-Inf;-Inf;0;226.595744680851;4.80769230769231;-Inf;-Inf;6.155;0.063;-Inf;-Inf;0.0015;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.1515;0.6295;-Inf;-Inf;0.111;0.0025;0.0015;0;-Inf;0.0065;-Inf;-Inf;0.001;0;0.05;0.0325;-Inf;0.011;-Inf;0.0025;-Inf;0.0075;-Inf;0.017;-Inf;0.001;-Inf;3.07;0.325;8.82;0.194;3.035;0.049;-Inf;0.016;-Inf;0.0105;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded mild, store brand, essential everyday ";"fatty acids, cheese, cheddar, natural shredded mild, store brand, essential everyday ";-Inf;-Inf;-Inf;-Inf;0;210.106382978723;4.38461538461539;-Inf;-Inf;6.91;0.066;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.157;0.895;-Inf;-Inf;0.106;0.004;0.004;0.006;-Inf;0.008;-Inf;-Inf;0.001;0;0.052;0.039;-Inf;0.009;-Inf;0.003;-Inf;0.01;-Inf;0.016;-Inf;0.002;-Inf;2.95;0.313;8.66;0.186;3.72;0.049;-Inf;0.019;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded mild, store brand, great value";"fatty acids, cheese, cheddar, natural shredded mild, store brand, great value";-Inf;-Inf;-Inf;-Inf;0;209.042553191489;4.23076923076923;-Inf;-Inf;6.38;0.064;-Inf;-Inf;0.002;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.155;0.79;-Inf;-Inf;0.092;0.003;0.003;0;-Inf;0.007;-Inf;-Inf;0;0;0.051;0.035;-Inf;0.008;-Inf;0.002;-Inf;0.008;-Inf;0.015;-Inf;0;-Inf;2.84;0.313;8.32;0.18;3.18;0.043;-Inf;0.014;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded mild, store brand, skroger";"fatty acids, cheese, cheddar, natural shredded mild, store brand, skroger";-Inf;-Inf;-Inf;-Inf;0;201.595744680851;4.23076923076923;-Inf;-Inf;6.5;0.066;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.162;0.869;-Inf;-Inf;0.102;0.003;0.003;0.001;-Inf;0.007;-Inf;-Inf;0;0;0.056;0.04;-Inf;0.009;-Inf;0.003;-Inf;0.01;-Inf;0.017;-Inf;0.002;-Inf;3.01;0.313;8.6;0.186;3.57;0.05;-Inf;0.015;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded mild, store brand, wegmans";"fatty acids, cheese, cheddar, natural shredded mild, store brand, wegmans";-Inf;-Inf;-Inf;-Inf;0;205.31914893617;4.38461538461539;-Inf;-Inf;6.4;0.066;-Inf;-Inf;0.002;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.153;0.832;-Inf;-Inf;0.103;0.003;0.003;0;-Inf;0.007;-Inf;-Inf;0;0;0.055;0.037;-Inf;0.009;-Inf;0.002;-Inf;0.01;-Inf;0.016;-Inf;0.002;-Inf;2.83;0.303;8.36;0.184;3.37;0.047;-Inf;0.015;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded sharp, kraft";"fatty acids, cheese, cheddar, natural shredded sharp, kraft";-Inf;-Inf;-Inf;-Inf;0;256.117021276596;5.38461538461539;-Inf;-Inf;6.94;0.07;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.171;0.7605;-Inf;-Inf;0.1285;0.0035;0.004;0.002;-Inf;0.0075;-Inf;-Inf;0;0;0.053;0.035;-Inf;0.011;-Inf;0.002;-Inf;0.007;-Inf;0.0205;-Inf;0.002;-Inf;3.2;0.33;9.265;0.2055;3.33;0.05;-Inf;0.017;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
